family,level,key,metric,old,new,absolute_difference,old_3dp,new_3dp,both_undefined,definition_changed,passed
strict_temporal,detail,Forecasting|1057,recall,,,,,,True,False,True
strict_temporal,detail,Forecasting|1057,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1059,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1059,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1059,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1059,R2(p3),-9.82,-5.099999881,4.720000119,-9.820,-5.100,False,False,False
strict_temporal,detail,Forecasting|1060,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1060,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1060,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1060,R2(p3),-9.82,-5.099999881,4.720000119,-9.820,-5.100,False,False,False
strict_temporal,detail,Forecasting|1061,accuracy,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1061,precision,0,0,0,0.000,0.000,False,False,True
strict_temporal,detail,Forecasting|1061,recall,,,,,,True,False,True
strict_temporal,detail,Forecasting|1061,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1068,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1068,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1068,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1068,R2(p3),-69.56,-24.0400024,45.5199976,-69.560,-24.040,False,False,False
strict_temporal,detail,Forecasting|1071,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1071,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1071,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1071,R2(p3),-80.04,-22.20000401,57.83999599,-80.040,-22.200,False,False,False
strict_temporal,detail,Forecasting|109,accuracy,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|109,precision,1,,,1.000,,False,True,False
strict_temporal,detail,Forecasting|109,recall,1,0,1,1.000,0.000,False,False,False
strict_temporal,detail,Forecasting|109,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1097,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1097,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1097,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1097,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|1099,accuracy,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1099,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1099,recall,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|1099,R2(p3),,,,,,True,False,True
strict_temporal,detail,Forecasting|11,accuracy,0.5,0.5,0.0,0.500,0.500,False,False,True
strict_temporal,detail,Forecasting|11,precision,1,1,0,1.000,1.000,False,False,True
strict_temporal,detail,Forecasting|11,recall,0.5,1,0.5,0.500,1.000,False,False,False
strict_temporal,detail,Forecasting|11,R2(p3),-1.444598338,-1.217451492,0.227146846,-1.445,-1.217,False,False,False
strict_temporal,detail,Forecasting|110,accuracy,1,0,1,1.000,0.000,False,False,False
