task,model_component,feature_order,feature_name,source_dtype,native_missingness_preserved,feature_order_sha256
Contemporaneous,direct_contemporaneous_phase45_classifier,69,aez_groupid_33000,int64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,70,aez_groupid_34000,int64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,71,aez_groupid_36000,int64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,72,aez_groupid_40000,int64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,73,aez_groupid_43000,int64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,74,slope,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,75,estimated_population,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,76,lat,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,77,lon,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,78,cropland,int64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,79,rangeland,int64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,80,precipitation_sum_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,81,soil_moisture_mean_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,82,shortwave_radiation_sum_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,83,temperature_2m_mean_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,84,price_index_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,85,rainfall_chirps_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,86,nightlight_mean_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,87,precipitation_sum_s12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,88,soil_moisture_mean_s12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,89,shortwave_radiation_sum_s12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,90,temperature_2m_mean_s12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,91,price_index_s12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,92,rainfall_chirps_s12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,93,nightlight_mean_s12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,94,EVI_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,95,area,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,96,es_urban_pop,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,97,urban_area,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,98,distance_to_river,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,99,ruggedness_index,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,100,fews_ipc_ha,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,101,CC.PER.RNK,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,102,gini,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,103,cpi,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,104,NY.GDP.PCAP.KD,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,105,WFP_Price_Change_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,106,WFP_Price_Volatility_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,107,fatalities_battles_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,108,fatalities_explosions_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,109,fatalities_violence_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,110,event_count_battles_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,111,event_count_explosions_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,112,event_count_violence_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,113,precipitation_sum_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,114,soil_moisture_mean_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,115,shortwave_radiation_sum_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,116,temperature_2m_mean_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,117,price_index_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,118,rainfall_chirps_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,119,nightlight_mean_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,120,EVI_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,121,fatalities_battles_w5_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,122,fatalities_explosions_w5_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,123,fatalities_violence_w5_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,124,event_count_battles_w5_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,125,event_count_explosions_w5_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,126,event_count_violence_w5_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,127,fatalities_battles_w10_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,128,fatalities_explosions_w10_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,129,fatalities_violence_w10_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,130,event_count_battles_w10_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,131,event_count_explosions_w10_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,132,event_count_violence_w10_l12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
