task,method,bootstrap_id,sampled_country_count,accuracy_delta,balanced_accuracy_delta,macro_f1_delta,ordinal_mae_delta,phase4_precision_delta,phase4_recall_delta
Forecasting,xgboost,35,27,0,0,0,0,<NA>,0
Forecasting,single_score,36,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,36,27,-0.00080192461908579205,0.016062421185372017,0.033448413547000511,0.00080192461908579205,-0.47999999999999998,0.11057692307692307
Forecasting,xgboost,36,27,0,0,0,0,0,0
Forecasting,single_score,37,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,37,27,0,0.065145380934854613,0.070142174493217524,0,<NA>,0.27272727272727271
Forecasting,xgboost,37,27,0,0,0,0,<NA>,0
Forecasting,single_score,38,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,38,27,0.0063405797101450112,0.021579408330089533,0.039229059177710301,-0.0063405797101449557,-0.30000000000000004,0.11607142857142858
Forecasting,xgboost,38,27,0,0,0,0,0,0
Forecasting,single_score,39,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,39,27,-0.0012468827930174342,0.0078656126482213595,0.017676763815894253,0.0012468827930174342,-0.46666666666666667,0.054545454545454543
Forecasting,xgboost,39,27,0,0,0,0,0,0
Forecasting,single_score,40,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,40,27,0.0049689440993788692,0.021882363401947297,0.039373596593108795,-0.0049689440993789247,-0.3529411764705882,0.12048192771084339
Forecasting,xgboost,40,27,0,0,0,0,0,0
Forecasting,single_score,41,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,41,27,0.010101010101010166,0.04926900584795324,0.065796418540481072,-0.010101010101010055,<NA>,0.20000000000000001
Forecasting,xgboost,41,27,0,0,0,0,<NA>,0
Forecasting,single_score,42,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,42,27,0,0.0098735572360162671,0.019297038359748303,0,-0.45454545454545459,0.056179775280898875
Forecasting,xgboost,42,27,0,0,0,0,0,0
Forecasting,single_score,43,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,43,27,0.010989010989011061,0.027662042875157639,0.048327112493792929,-0.010989010989011005,-0.23076923076923073,0.14754098360655737
Forecasting,xgboost,43,27,0,0,0,0,0,0
Forecasting,single_score,44,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,44,27,-0.0010427528675703845,0.0084817820877692018,0.020061337779922583,0.0010427528675703845,-0.45833333333333337,0.062893081761006289
Forecasting,xgboost,44,27,0,0,0,0,0,0
Forecasting,single_score,45,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,45,27,-0.0027906976744186407,0.0092109885477411058,0.018629439429088013,0.0027906976744186407,-0.5714285714285714,0.058139534883720929
Forecasting,xgboost,45,27,0,0,0,0,0,0
Forecasting,single_score,46,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,46,27,0.0069620253164557333,0.025647989136946353,0.045370968837179698,-0.0069620253164557333,-0.30000000000000004,0.13698630136986301
Forecasting,xgboost,46,27,0,0,0,0,0,0
Forecasting,single_score,47,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,47,27,0.0066445182724251817,0.024558258884350093,0.044150780289243324,-0.0066445182724252372,-0.34482758620689657,0.13533834586466165
Forecasting,xgboost,47,27,0,0,0,0,0,0
Forecasting,single_score,48,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,48,27,0.0036934441366573978,0.016171957875098536,0.030911812135942324,-0.0036934441366573978,-0.36842105263157898,0.090534979423868303
Forecasting,xgboost,48,27,0,0,0,0,0,0
Forecasting,single_score,49,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,49,27,-0.0057236304170074082,0.0058117008911275359,0.010559136082365306,0.0057236304170073526,<NA>,0.034482758620689655
Forecasting,xgboost,49,27,0,0,0,0,<NA>,0
Forecasting,single_score,50,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,50,27,0.011848341232227444,0.079036458333333282,0.089183866428963782,-0.011848341232227472,<NA>,0.33333333333333331
Forecasting,xgboost,50,27,0,0,0,0,<NA>,0
Forecasting,single_score,51,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,51,27,0.0074786324786324521,0.019891739232760663,0.037693778566014857,-0.0074786324786325076,-0.33333333333333337,0.11428571428571427
Forecasting,xgboost,51,27,0,0,0,0,0,0
Forecasting,single_score,52,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,52,27,0.0075107296137338908,0.029850574712643629,0.050823657333460781,-0.0075107296137338908,-0.31818181818181823,0.16091954022988508
Forecasting,xgboost,52,27,0,0,0,0,0,0
Forecasting,single_score,53,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,53,27,0.00093109869646179622,0.040093952908768937,0.052405173100171426,-0.00093109869646179622,<NA>,0.17721518987341772
Forecasting,xgboost,53,27,0,0,0,0,<NA>,0
Forecasting,single_score,54,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,54,27,0.0014144271570013522,0.014533497998064915,0.028228477569704841,-0.0014144271570014078,-0.43478260869565222,0.083916083916083919
Forecasting,xgboost,54,27,0,0,0,0,0,0
Forecasting,single_score,55,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,55,27,0.0014917951268025309,0.013833282731167629,0.027389752783039345,-0.0014917951268025864,-0.42500000000000004,0.082987551867219914
Forecasting,xgboost,55,27,0,0,0,0,0,0
Forecasting,single_score,56,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,56,27,0.0095147478591817158,0.027076347463908801,0.049182708974842448,-0.0095147478591817158,-0.36363636363636365,0.15853658536585366
Forecasting,xgboost,56,27,0,0,0,0,0,0
Forecasting,single_score,57,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,57,27,0.00057670126874276306,0.012044137493053858,0.023607222795689886,-0.00057670126874276306,-0.43999999999999995,0.070175438596491224
Forecasting,xgboost,57,27,0,0,0,0,0,0
Forecasting,single_score,58,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,58,27,-0.0043103448275861878,0.0081720763692299803,0.017041072115228012,0.0043103448275861878,-0.57894736842105265,0.056074766355140179
Forecasting,xgboost,58,27,0,0,0,0,0,0
Forecasting,single_score,59,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,59,27,0.0037764350453172169,0.024467980778660359,0.043258025024925789,-0.0037764350453172169,-0.40625,0.13636363636363638
Forecasting,xgboost,59,27,0,0,0,0,0,0
Forecasting,single_score,60,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,60,27,0.0019175455417066445,0.026976495726495742,0.038153553582021549,-0.001917545541706589,<NA>,0.1111111111111111
Forecasting,xgboost,60,27,0,0,0,0,<NA>,0
Forecasting,single_score,61,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,61,27,0.0040080160320641323,0.019661529994496441,0.036940348721437199,-0.0040080160320641323,-0.39473684210526316,0.1141304347826087
Forecasting,xgboost,61,27,0,0,0,0,0,0
Forecasting,single_score,62,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,62,27,0.0059405940594059459,0.021882718132127638,0.039684035469276735,-0.0059405940594059459,-0.30769230769230771,0.11724137931034483
Forecasting,xgboost,62,27,0,0,0,0,0,0
Forecasting,single_score,63,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,63,27,-0.0018034265103696878,0.011847158218125903,0.026508439937101974,0.0018034265103696878,-0.48648648648648651,0.086021505376344093
Forecasting,xgboost,63,27,0,0,0,0,0,0
Forecasting,single_score,64,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,64,27,0.0031595576619273258,0.01164772416508969,0.022454509264583006,-0.0031595576619273258,-0.27272727272727271,0.061946902654867256
Forecasting,xgboost,64,27,0,0,0,0,0,0
Forecasting,single_score,65,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,65,27,0.018887722980063026,0.037011271574498072,0.063326363693809673,-0.018887722980062971,-0.2432432432432432,0.19852941176470587
Forecasting,xgboost,65,27,0,0,0,0,0,0
Forecasting,single_score,66,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,66,27,0.0039463299131807794,0.044316382871925575,0.05757530318293691,-0.0039463299131807794,<NA>,0.19101123595505617
Forecasting,xgboost,66,27,0,0,0,0,<NA>,0
Forecasting,single_score,67,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,67,27,0.00043649061545181222,0.0091033368545330173,0.018728164644482431,-0.00043649061545175671,-0.44444444444444442,0.053719008264462811
Forecasting,xgboost,67,27,0,0,0,0,0,0
Forecasting,single_score,68,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,68,27,-0.0035511363636363535,0.0058335035534925195,0.013787235670136233,0.0035511363636363535,-0.5714285714285714,0.042944785276073622
Forecasting,xgboost,68,27,0,0,0,0,0,0
Forecasting,single_score,69,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,69,27,0.0064516129032258229,0.035588442565186729,0.049772397898162513,-0.0064516129032258229,<NA>,0.14545454545454545
Forecasting,xgboost,69,27,0,0,0,0,<NA>,0
Forecasting,single_score,70,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,70,27,0.0033975084937712952,0.017352472089314203,0.033915736804801477,-0.0033975084937712396,-0.40740740740740744,0.10606060606060606
Forecasting,xgboost,70,27,0,0,0,0,0,0
Forecasting,single_score,71,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,71,27,0.0069930069930069783,0.018580752097793446,0.035055822507873119,-0.0069930069930069783,-0.29032258064516125,0.10204081632653061
Forecasting,xgboost,71,27,0,0,0,0,0,0
Forecasting,single_score,72,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,72,27,0.0052966101694914558,0.027176587021066012,0.047758114376911937,-0.0052966101694915113,-0.40000000000000002,0.15454545454545454
Forecasting,xgboost,72,27,0,0,0,0,0,0
Forecasting,single_score,73,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,73,27,-0.0018018018018017834,0.053544831694965711,0.056712502609232079,0.0018018018018017834,<NA>,0.22222222222222221
Forecasting,xgboost,73,27,0,0,0,0,<NA>,0
Forecasting,single_score,74,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,74,27,-0.0012911555842478606,0.0041843334531081466,0.0091054207508020346,0.0012911555842479161,-0.55555555555555558,0.026086956521739132
Forecasting,xgboost,74,27,0,0,0,0,0,0
Forecasting,single_score,75,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,75,27,0.010989010989011061,0.052509457755359423,0.069399198969909759,-0.01098901098901095,<NA>,0.21311475409836064
Forecasting,xgboost,75,27,0,0,0,0,<NA>,0
Forecasting,single_score,76,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,76,27,-0.0049220672682526168,0.016826265389876888,0.030076753273408835,0.0049220672682526168,-0.59999999999999998,0.10465116279069767
Forecasting,xgboost,76,27,0,0,0,0,0,0
Forecasting,single_score,77,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,77,27,-0.0012070006035003189,0.0046243872008896181,0.010116687949956543,0.0012070006035002634,-0.54545454545454541,0.028776978417266185
Forecasting,xgboost,77,27,0,0,0,0,0,0
Forecasting,single_score,78,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,78,27,0,0.024856258292790812,0.042363089466204235,0,-0.47999999999999998,0.14285714285714285
Forecasting,xgboost,78,27,0,0,0,0,0,0
Forecasting,single_score,79,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,79,27,0.0026881720430107503,0.012746012894468972,0.026396014413064078,-0.0026881720430107503,-0.38888888888888884,0.080357142857142849
Forecasting,xgboost,79,27,0,0,0,0,0,0
Forecasting,single_score,80,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,80,27,0.0059016393442622439,0.015487705106728117,0.03204939883210875,-0.0059016393442622994,-0.37254901960784315,0.096885813148788927
Forecasting,xgboost,80,27,0,0,0,0,0,0
Forecasting,single_score,81,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,81,27,0.0082417582417583235,0.030652088121271237,0.05217856915970126,-0.0082417582417582125,-0.34782608695652173,0.16867469879518071
Forecasting,xgboost,81,27,0,0,0,0,0,0
Forecasting,single_score,82,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,82,27,0.0094339622641509413,0.064361673985503409,0.077825654126197186,-0.0094339622641509413,<NA>,0.26829268292682928
Forecasting,xgboost,82,27,0,0,0,0,<NA>,0
Forecasting,single_score,83,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,83,27,0.0020441537203597093,0.012126840295854341,0.023967360649059216,-0.0020441537203597648,-0.38888888888888884,0.0695970695970696
Forecasting,xgboost,83,27,0,0,0,0,0,0
Forecasting,single_score,84,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,84,27,0.0031217481789802548,0.017454939693725441,0.034054137173055415,-0.0031217481789802548,-0.41379310344827591,0.10638297872340424
Forecasting,xgboost,84,27,0,0,0,0,0,0
Forecasting,single_score,85,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,85,27,-0.001179245283018826,0.091873827392120078,0.079604699554272657,0.001179245283018826,<NA>,0.375
Forecasting,xgboost,85,27,0,0,0,0,<NA>,0
Forecasting,single_score,86,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,86,27,0.0097719869706839324,0.04654724197693183,0.062806854967105086,-0.0097719869706840434,<NA>,0.18965517241379309
Forecasting,xgboost,86,27,0,0,0,0,<NA>,0
Forecasting,single_score,87,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,87,27,-0.0085836909871245259,0.0061388159813356435,0.018116137879407579,0.0085836909871244149,-0.59090909090909083,0.064814814814814811
Forecasting,xgboost,87,27,0,0,0,0,0,0
Forecasting,single_score,88,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,88,27,0.0020297699594045149,0.015600684718331759,0.023687928942600855,-0.0020297699594045704,<NA>,0.063492063492063489
Forecasting,xgboost,88,27,0,0,0,0,<NA>,0
Forecasting,single_score,89,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,89,27,0.007575757575757569,0.067035358654820798,0.078336030167825754,-0.007575757575757569,<NA>,0.29032258064516131
Forecasting,xgboost,89,27,0,0,0,0,<NA>,0
Forecasting,single_score,90,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,90,27,-0.0013289036544851252,0.014408853557789758,0.029072831987320302,0.0013289036544850696,-0.5,0.092307692307692299
Forecasting,xgboost,90,27,0,0,0,0,0,0
Forecasting,single_score,91,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,91,27,-0.0031201248049921304,0.0064127206010833326,0.013973749199305219,0.0031201248049922414,-0.59999999999999998,0.042372881355932208
Forecasting,xgboost,91,27,0,0,0,0,0,0
Forecasting,single_score,92,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,92,27,0.00089847259658581979,0.030208333333333337,0.040960096787301253,-0.00089847259658581979,<NA>,0.125
Forecasting,xgboost,92,27,0,0,0,0,<NA>,0
Forecasting,single_score,93,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,93,27,0.010245901639344246,0.042264115898959898,0.057983930275560508,-0.010245901639344246,<NA>,0.17499999999999999
Forecasting,xgboost,93,27,0,0,0,0,<NA>,0
Forecasting,single_score,94,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,94,27,-0.00073206442166917629,0.0092334494773519127,0.019003133168645658,0.00073206442166912078,-0.47368421052631582,0.057142857142857141
Forecasting,xgboost,94,27,0,0,0,0,0,0
Forecasting,single_score,95,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,95,27,0.0021390374331551332,0.010463325038511634,0.020456755504748791,-0.0021390374331550777,-0.33333333333333337,0.057471264367816091
Forecasting,xgboost,95,27,0,0,0,0,0,0
Forecasting,single_score,96,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,96,27,0.004472271914132353,0.043991079281316681,0.057613258788021926,-0.004472271914132353,<NA>,0.19047619047619047
Forecasting,xgboost,96,27,0,0,0,0,<NA>,0
Forecasting,single_score,97,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,97,27,-0.0022883295194507935,-0.00092250922509223843,-0.0003525298113145614,0.0022883295194507935,<NA>,0
Forecasting,xgboost,97,27,0,0,0,0,<NA>,0
Forecasting,single_score,98,27,0,0,0,0,0,0
Forecasting,direct_phase34_xgboost,98,27,0.0048740861088545362,0.019356324359888155,0.035554983491586839,-0.0048740861088545917,-0.31578947368421051,0.10434782608695652
Forecasting,xgboost,98,27,0,0,0,0,0,0
Forecasting,single_score,99,27,0,0,0,0,<NA>,0
Forecasting,direct_phase34_xgboost,99,27,0.00085034013605445047,0.0081362812779523508,0.012930408704226931,-0.00085034013605445047,<NA>,0.033898305084745763
Forecasting,xgboost,99,27,0,0,0,0,<NA>,0
Forecasting,single_score,100,27,0,0,0,0,0,0
