task,candidate_id,scope,meta_fold,max_depth,min_child_weight,learning_rate,reg_lambda,n_train,n_validation,validation_positive_count,pr_auc,log_loss,selected
Nowcasting,C013,pooled,A1-A3,2,20,0.029999999999999999,1,4118,1900,178,0.15554993507819903,0.5169711303545772,False
Nowcasting,C014,fold,A1,2,20,0.029999999999999999,10,699,663,53,0.14042999074993004,0.45053000261238096,False
Nowcasting,C014,fold,A2,2,20,0.029999999999999999,10,1362,695,81,0.1768112983330159,0.63129111860232556,False
Nowcasting,C014,fold,A3,2,20,0.029999999999999999,10,2057,542,44,0.20121931717191749,0.48562374779438655,False
Nowcasting,C014,pooled,A1-A3,2,20,0.029999999999999999,10,4118,1900,178,0.15515987075512969,0.52666146866588548,False
Nowcasting,C015,fold,A1,2,20,0.10000000000000001,1,699,663,53,0.13672284226780915,0.3900471538544163,False
Nowcasting,C015,fold,A2,2,20,0.10000000000000001,1,1362,695,81,0.24041964509053559,0.57205693192637475,False
Nowcasting,C015,fold,A3,2,20,0.10000000000000001,1,2057,542,44,0.17883088397656338,0.46829597274314877,False
Nowcasting,C015,pooled,A1-A3,2,20,0.10000000000000001,1,4118,1900,178,0.17224843833890136,0.47894591995847108,False
Nowcasting,C016,fold,A1,2,20,0.10000000000000001,10,699,663,53,0.13449178273259638,0.40163272231485081,False
Nowcasting,C016,fold,A2,2,20,0.10000000000000001,10,1362,695,81,0.2572802327292707,0.59256442875888415,False
Nowcasting,C016,fold,A3,2,20,0.10000000000000001,10,2057,542,44,0.18106946972695159,0.45144531396432214,False
Nowcasting,C016,pooled,A1-A3,2,20,0.10000000000000001,10,4118,1900,178,0.17769282042935183,0.48568322792149121,False
Nowcasting,C017,fold,A1,3,5,0.029999999999999999,1,699,663,53,0.14786286856317105,0.36869591898188409,False
Nowcasting,C017,fold,A2,3,5,0.029999999999999999,1,1362,695,81,0.20949723408932563,0.54306112194787681,False
Nowcasting,C017,fold,A3,3,5,0.029999999999999999,1,2057,542,44,0.18659225524951562,0.47353279666153819,False
Nowcasting,C017,pooled,A1-A3,3,5,0.029999999999999999,1,4118,1900,178,0.17140777668991644,0.46238297359437752,False
Nowcasting,C018,fold,A1,3,5,0.029999999999999999,10,699,663,53,0.13866576907755937,0.40440915042441689,False
Nowcasting,C018,fold,A2,3,5,0.029999999999999999,10,1362,695,81,0.20683883213914644,0.57993504898644044,False
Nowcasting,C018,fold,A3,3,5,0.029999999999999999,10,2057,542,44,0.17107292914861427,0.47510687012753711,False
Nowcasting,C018,pooled,A1-A3,3,5,0.029999999999999999,10,4118,1900,178,0.16743381474253344,0.48878213125583664,False
Nowcasting,C019,fold,A1,3,5,0.10000000000000001,1,699,663,53,0.14387468060416797,0.37826898135741066,False
Nowcasting,C019,fold,A2,3,5,0.10000000000000001,1,1362,695,81,0.24984178208414401,0.46630114031493336,False
Nowcasting,C019,fold,A3,3,5,0.10000000000000001,1,2057,542,44,0.17084764269900418,0.39720766478807462,False
Nowcasting,C019,pooled,A1-A3,3,5,0.10000000000000001,1,4118,1900,178,0.1829415632051096,0.41587272709156758,True
Nowcasting,C020,fold,A1,3,5,0.10000000000000001,10,699,663,53,0.14469928650735669,0.36332526833281009,False
Nowcasting,C020,fold,A2,3,5,0.10000000000000001,10,1362,695,81,0.21840352418054418,0.51827608763902577,False
Nowcasting,C020,fold,A3,3,5,0.10000000000000001,10,2057,542,44,0.1483895678547224,0.40328340463156204,False
Nowcasting,C020,pooled,A1-A3,3,5,0.10000000000000001,10,4118,1900,178,0.1736758061665023,0.43140323111793821,False
Nowcasting,C021,fold,A1,3,20,0.029999999999999999,1,699,663,53,0.14982181916429416,0.41732063906238798,False
Nowcasting,C021,fold,A2,3,20,0.029999999999999999,1,1362,695,81,0.2084198772311267,0.588113783337879,False
Nowcasting,C021,fold,A3,3,20,0.029999999999999999,1,2057,542,44,0.17099687727131185,0.45518569177000201,False
Nowcasting,C021,pooled,A1-A3,3,20,0.029999999999999999,1,4118,1900,178,0.16813753693729203,0.49059647792501587,False
Nowcasting,C022,fold,A1,3,20,0.029999999999999999,10,699,663,53,0.14006119847036411,0.42260298154985482,False
Nowcasting,C022,fold,A2,3,20,0.029999999999999999,10,1362,695,81,0.1788018171338433,0.60990483488407621,False
Nowcasting,C022,fold,A3,3,20,0.029999999999999999,10,2057,542,44,0.1647974427187188,0.46822355814484257,False
Nowcasting,C022,pooled,A1-A3,3,20,0.029999999999999999,10,4118,1900,178,0.15705503370641827,0.50412989764552174,False
Nowcasting,C023,fold,A1,3,20,0.10000000000000001,1,699,663,53,0.14369516915937061,0.36795707531574695,False
Nowcasting,C023,fold,A2,3,20,0.10000000000000001,1,1362,695,81,0.26228017793241376,0.53065072405017333,False
Nowcasting,C023,fold,A3,3,20,0.10000000000000001,1,2057,542,44,0.16676175982759331,0.38840494509036466,False
Nowcasting,C023,pooled,A1-A3,3,20,0.10000000000000001,1,4118,1900,178,0.17915262814021338,0.43330172336220441,False
Nowcasting,C024,fold,A1,3,20,0.10000000000000001,10,699,663,53,0.14897174808207692,0.37424872938763287,False
Nowcasting,C024,fold,A2,3,20,0.10000000000000001,10,1362,695,81,0.23138449699011682,0.55750002369285268,False
Nowcasting,C024,fold,A3,3,20,0.10000000000000001,10,2057,542,44,0.14337071695945258,0.39809144906027849,False
Nowcasting,C024,pooled,A1-A3,3,20,0.10000000000000001,10,4118,1900,178,0.17413639344122828,0.44808157339010751,False
