task,method,country_code_3,method_role,selection_status,primary_selected,n_rows,n_gate,accuracy,balanced_accuracy,macro_f1,ordinal_mae,phase3_precision,phase3_recall,phase3_f1,phase4_precision,phase4_recall,phase4_f1,phase5_precision,phase5_recall,phase5_f1,phase45_precision,phase45_recall,phase45_f1,phase45_f2,phase3plus_precision,phase3plus_recall,phase3plus_r2,changed_3_to_4,exact_phase4_rescues,actual_phase5_promoted_to_phase4,false_promotion_actual_phase1,false_promotion_actual_phase2,false_promotion_actual_phase3
Forecasting,direct_phase45_unweighted,MDG,candidate_sensitivity,selected,False,19,19,0.21052631578947367,0.13333333333333333,0.076190476190476183,0.89473684210526316,0.66666666666666663,0.26666666666666666,0.38095238095238093,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.78947368421052633,1,-0.31393986873948054,13,0,0,0,2,11
Forecasting,direct_phase45_unweighted,MOZ,candidate_sensitivity,selected,False,17,17,0.23529411764705882,0.18181818181818182,0.094117647058823528,1,0.66666666666666663,0.36363636363636365,0.47058823529411764,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.6470588235294118,1,-0.028662442325788406,11,0,0,0,4,7
Forecasting,direct_phase45_unweighted,MWI,candidate_sensitivity,selected,False,2,2,0,0,0,2,<NA>,<NA>,<NA>,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0,<NA>,-21.734693079578644,2,0,0,0,2,0
Forecasting,direct_phase45_unweighted,PAK,candidate_sensitivity,selected,False,40,40,0.875,0.46052631578947367,0.1891891891891892,0.14999999999999999,0.97222222222222221,0.92105263157894735,0.94594594594594594,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.94999999999999996,1,-0.23413561279108541,4,0,0,0,1,3
Forecasting,direct_phase45_unweighted,SDN,candidate_sensitivity,selected,False,4,4,0,0,0,1,<NA>,0,0,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,1,1,-2.920000187266969,4,0,0,0,0,4
Forecasting,direct_phase45_unweighted,SLV,candidate_sensitivity,selected,False,12,12,0.41666666666666669,0.5,0.11764705882352941,0.58333333333333337,0.41666666666666669,1,0.58823529411764708,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.41666666666666669,1,-0.25485711792537824,0,0,0,0,0,0
Forecasting,direct_phase45_unweighted,SOM,candidate_sensitivity,selected,False,372,302,0.61021505376344087,0.32130134755526607,0.25669612488222138,0.44086021505376344,0.68683274021352314,0.7975206611570248,0.73804971319311663,0.19047619047619047,0.14285714285714285,0.16326530612244897,<NA>,<NA>,<NA>,0.19047619047619047,0.14285714285714285,0.16326530612244897,0.15037593984962405,0.76821192052980136,0.85925925925925928,0.038172817139951354,21,4,0,0,6,11
Forecasting,direct_phase45_unweighted,SSD,candidate_sensitivity,selected,False,130,129,0.7153846153846154,0.40073529411764708,0.29695756088108005,0.31538461538461537,0.91111111111111109,0.6029411764705882,0.72566371681415931,0.61176470588235299,1,0.75912408759124084,<NA>,0,0,0.63529411764705879,1,0.7769784172661871,0.89700996677740863,0.93846153846153846,1,0.28370658281179284,84,51,2,0,4,27
Forecasting,direct_phase45_unweighted,SWZ,candidate_sensitivity,selected,False,11,9,0.18181818181818182,0.1111111111111111,0.072727272727272724,1.3636363636363635,0,0,0,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.22222222222222221,1,-2.1940739717601341,8,0,0,0,6,2
Forecasting,direct_phase45_unweighted,TJK,candidate_sensitivity,selected,False,2,2,1,1,0.20000000000000001,0,<NA>,<NA>,<NA>,1,1,1,<NA>,<NA>,<NA>,1,1,1,1,1,1,-14.7600006484986,2,2,0,0,0,0
Forecasting,direct_phase45_unweighted,TZA,candidate_sensitivity,selected,False,1,1,0,0,0,2,<NA>,<NA>,<NA>,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0,<NA>,<NA>,1,0,0,0,1,0
Forecasting,direct_phase45_unweighted,UGA,candidate_sensitivity,selected,False,49,42,0.77551020408163263,0.5987179487179487,0.24342774146695714,0.22448979591836735,0.83333333333333337,0.89743589743589747,0.86419753086419748,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.83333333333333337,0.89743589743589747,-0.22049968884026283,0,0,0,0,0,0
Forecasting,direct_phase45_unweighted,YEM,candidate_sensitivity,selected,False,36,36,0.55555555555555558,0.45454545454545453,0.15686274509803921,0.58333333333333337,0.68965517241379315,0.90909090909090906,0.78431372549019607,0,<NA>,0,<NA>,<NA>,<NA>,0,<NA>,0,0,0.61111111111111116,1,-0.72960971676299291,7,0,0,0,5,2
