delta3,delta4,n_rows,ordinal_mae,balanced_accuracy,phase4_support,phase4_recall,phase3plus_precision,phase3plus_recall,distribution_discrepancy,actual_phase1_count,actual_phase2_count,actual_phase3_count,actual_phase4_count,actual_phase5_count,predicted_phase1_count,predicted_phase2_count,predicted_phase3_count,predicted_phase4_count,predicted_phase5_count,ordinal_mae_change,balanced_accuracy_change,phase4_recall_change,phase3plus_precision_change,phase3plus_recall_change,distribution_discrepancy_change,offset_l1,mae_improved,phase4_recall_improved,balanced_accuracy_not_lower,phase3plus_precision_within_tolerance,phase3plus_recall_within_tolerance,accepted,selection_rank,selected
-0.059999999999999998,0.01,496,0.37298387096774194,0.35374901729559749,30,0,0.85308056872037918,0.61016949152542377,0.37500000000000006,9,192,265,30,0,0,285,211,0,0,-0.048387096774193561,0.052451847484276726,0,0.18641390205371255,-0.23728813559322026,-0.068548387096774133,0.069999999999999993,True,False,True,True,False,False,<NA>,False
-0.059999999999999998,0.02,496,0.375,0.3528056210691824,30,0,0.85308056872037918,0.61016949152542377,0.375,9,192,265,30,0,0,285,210,1,0,-0.046370967741935498,0.051508451257861632,0,0.18641390205371255,-0.23728813559322026,-0.068548387096774188,0.080000000000000002,True,False,True,True,False,False,<NA>,False
-0.050000000000000003,0.050000000000000003,496,0.37701612903225806,0.39369103773584907,30,0.20000000000000001,0.83549783549783552,0.65423728813559323,0.29435483870967749,9,192,265,30,0,0,265,211,20,0,-0.044354838709677435,0.092393867924528306,0.20000000000000001,0.16883116883116889,-0.1932203389830508,-0.1491935483870967,0.10000000000000001,True,True,True,True,False,False,<NA>,False
-0.050000000000000003,0.059999999999999998,496,0.37701612903225806,0.39369103773584907,30,0.20000000000000001,0.83549783549783552,0.65423728813559323,0.29435483870967749,9,192,265,30,0,0,265,211,20,0,-0.044354838709677435,0.092393867924528306,0.20000000000000001,0.16883116883116889,-0.1932203389830508,-0.1491935483870967,0.11,True,True,True,True,False,False,<NA>,False
-0.029999999999999999,0,496,0.37701612903225806,0.33881682389937107,30,0,0.75432525951557095,0.73898305084745763,0.157258064516129,9,192,265,30,0,0,207,289,0,0,-0.044354838709677435,0.037519654088050303,0,0.087658592848904315,-0.1084745762711864,-0.28629032258064518,0.029999999999999999,True,False,True,True,False,False,<NA>,False
-0.029999999999999999,0.01,496,0.37701612903225806,0.33881682389937107,30,0,0.75432525951557095,0.73898305084745763,0.157258064516129,9,192,265,30,0,0,207,289,0,0,-0.044354838709677435,0.037519654088050303,0,0.087658592848904315,-0.1084745762711864,-0.28629032258064518,0.040000000000000001,True,False,True,True,False,False,<NA>,False
-0.059999999999999998,0.029999999999999999,496,0.37903225806451613,0.35830876572327047,30,0.033333333333333333,0.85308056872037918,0.61016949152542377,0.375,9,192,265,30,0,0,285,206,5,0,-0.042338709677419373,0.057011595911949708,0.033333333333333333,0.18641390205371255,-0.23728813559322026,-0.068548387096774188,0.089999999999999997,True,True,True,True,False,False,<NA>,False
-0.029999999999999999,0.02,496,0.37903225806451613,0.33787342767295597,30,0,0.75432525951557095,0.73898305084745763,0.15322580645161293,9,192,265,30,0,0,207,288,1,0,-0.042338709677419373,0.036576257861635209,0,0.087658592848904315,-0.1084745762711864,-0.29032258064516125,0.050000000000000003,True,False,True,True,False,False,<NA>,False
-0.02,0,496,0.37903225806451613,0.33249312106918238,30,0,0.72955974842767291,0.78644067796610173,0.21370967741935476,9,192,265,30,0,0,178,318,0,0,-0.042338709677419373,0.03119595125786162,0,0.062893081761006275,-0.061016949152542299,-0.22983870967741943,0.02,True,False,True,True,False,False,<NA>,False
-0.02,0.01,496,0.37903225806451613,0.33249312106918238,30,0,0.72955974842767291,0.78644067796610173,0.21370967741935476,9,192,265,30,0,0,178,318,0,0,-0.042338709677419373,0.03119595125786162,0,0.062893081761006275,-0.061016949152542299,-0.22983870967741943,0.029999999999999999,True,False,True,True,False,False,<NA>,False
-0.050000000000000003,0.040000000000000001,496,0.38104838709677419,0.35485455974842767,30,0.033333333333333333,0.83549783549783552,0.65423728813559323,0.29435483870967755,9,192,265,30,0,0,265,219,12,0,-0.04032258064516131,0.053557389937106903,0.033333333333333333,0.16883116883116889,-0.1932203389830508,-0.14919354838709664,0.089999999999999997,True,True,True,True,False,False,<NA>,False
-0.02,0.02,496,0.38104838709677419,0.33154972484276735,30,0,0.72955974842767291,0.78644067796610173,0.20967741935483869,9,192,265,30,0,0,178,317,1,0,-0.04032258064516131,0.030252555031446582,0,0.062893081761006275,-0.061016949152542299,-0.2338709677419355,0.040000000000000001,True,False,True,True,False,False,<NA>,False
-0.040000000000000001,0.050000000000000003,496,0.38306451612903225,0.38655660377358486,30,0.20000000000000001,0.80158730158730163,0.68474576271186438,0.20967741935483877,9,192,265,30,0,0,244,232,20,0,-0.038306451612903247,0.085259433962264097,0.20000000000000001,0.134920634920635,-0.16271186440677965,-0.23387096774193541,0.089999999999999997,True,True,True,True,False,False,<NA>,False
-0.040000000000000001,0.059999999999999998,496,0.38306451612903225,0.38655660377358486,30,0.20000000000000001,0.80158730158730163,0.68474576271186438,0.20967741935483877,9,192,265,30,0,0,244,232,20,0,-0.038306451612903247,0.085259433962264097,0.20000000000000001,0.134920634920635,-0.16271186440677965,-0.23387096774193541,0.10000000000000001,True,True,True,True,False,False,<NA>,False
-0.029999999999999999,0.029999999999999999,496,0.38306451612903225,0.34337657232704405,30,0.033333333333333333,0.75432525951557095,0.73898305084745763,0.13709677419354843,9,192,265,30,0,0,207,284,5,0,-0.038306451612903247,0.042079402515723285,0.033333333333333333,0.087658592848904315,-0.1084745762711864,-0.30645161290322576,0.059999999999999998,True,True,True,True,False,False,<NA>,False
-0.01,0,496,0.38306451612903225,0.32630208333333333,30,0,0.71176470588235297,0.8203389830508474,0.30241935483870958,9,192,265,30,0,0,156,340,0,0,-0.038306451612903247,0.025004913522012562,0,0.045098039215686336,-0.027118644067796627,-0.14112903225806461,0.01,True,False,True,True,False,False,<NA>,False
-0.01,0.01,496,0.38306451612903225,0.32630208333333333,30,0,0.71176470588235297,0.8203389830508474,0.30241935483870958,9,192,265,30,0,0,156,340,0,0,-0.038306451612903247,0.025004913522012562,0,0.045098039215686336,-0.027118644067796627,-0.14112903225806461,0.02,True,False,True,True,False,False,<NA>,False
-0.070000000000000007,0,496,0.38508064516129031,0.34916470125786164,30,0,0.85929648241206025,0.57966101694915251,0.42338709677419356,9,192,265,30,0,0,297,199,0,0,-0.036290322580645185,0.047867531446540879,0,0.19262981574539362,-0.26779661016949152,-0.020161290322580627,0.070000000000000007,True,False,True,True,False,False,<NA>,False
-0.070000000000000007,0.01,496,0.38508064516129031,0.34916470125786164,30,0,0.85929648241206025,0.57966101694915251,0.42338709677419356,9,192,265,30,0,0,297,199,0,0,-0.036290322580645185,0.047867531446540879,0,0.19262981574539362,-0.26779661016949152,-0.020161290322580627,0.080000000000000002,True,False,True,True,False,False,<NA>,False
-0.02,0.029999999999999999,496,0.38508064516129031,0.33705286949685537,30,0.033333333333333333,0.72955974842767291,0.78644067796610173,0.19354838709677419,9,192,265,30,0,0,178,313,5,0,-0.036290322580645185,0.035755699685534603,0.033333333333333333,0.062893081761006275,-0.061016949152542299,-0.25,0.050000000000000003,True,True,True,True,False,False,<NA>,False
-0.01,0.02,496,0.38508064516129031,0.32535868710691829,30,0,0.71176470588235297,0.8203389830508474,0.29838709677419351,9,192,265,30,0,0,156,339,1,0,-0.036290322580645185,0.024061517295597523,0,0.045098039215686336,-0.027118644067796627,-0.14516129032258068,0.029999999999999999,True,False,True,True,False,False,<NA>,False
-0.050000000000000003,0.070000000000000007,496,0.38709677419354838,0.40375393081761002,30,0.26666666666666666,0.83549783549783552,0.65423728813559323,0.29435483870967744,9,192,265,30,0,0,265,202,29,0,-0.034274193548387122,0.10245676100628925,0.26666666666666666,0.16883116883116889,-0.1932203389830508,-0.14919354838709675,0.12000000000000001,True,True,True,True,False,False,<NA>,False
-0.070000000000000007,0.02,496,0.38709677419354838,0.34822130503144655,30,0,0.85929648241206025,0.57966101694915251,0.42338709677419362,9,192,265,30,0,0,297,198,1,0,-0.034274193548387122,0.046924135220125784,0,0.19262981574539362,-0.26779661016949152,-0.020161290322580572,0.090000000000000011,True,False,True,True,False,False,<NA>,False
-0.040000000000000001,0.040000000000000001,496,0.38709677419354838,0.34772012578616357,30,0.033333333333333333,0.80158730158730163,0.68474576271186438,0.20967741935483872,9,192,265,30,0,0,244,240,12,0,-0.034274193548387122,0.046422955974842806,0.033333333333333333,0.134920634920635,-0.16271186440677965,-0.23387096774193547,0.080000000000000002,True,True,True,True,False,False,<NA>,False
-0.059999999999999998,0.050000000000000003,496,0.38911290322580644,0.39054147012578616,30,0.20000000000000001,0.85308056872037918,0.61016949152542377,0.375,9,192,265,30,0,0,285,191,20,0,-0.032258064516129059,0.089244300314465397,0.20000000000000001,0.18641390205371255,-0.23728813559322026,-0.068548387096774188,0.11,True,True,True,True,False,False,<NA>,False
-0.059999999999999998,0.059999999999999998,496,0.38911290322580644,0.39054147012578616,30,0.20000000000000001,0.85308056872037918,0.61016949152542377,0.375,9,192,265,30,0,0,285,191,20,0,-0.032258064516129059,0.089244300314465397,0.20000000000000001,0.18641390205371255,-0.23728813559322026,-0.068548387096774188,0.12,True,True,True,True,False,False,<NA>,False
-0.01,0.029999999999999999,496,0.38911290322580644,0.33086183176100631,30,0.033333333333333333,0.71176470588235297,0.8203389830508474,0.282258064516129,9,192,265,30,0,0,156,335,5,0,-0.032258064516129059,0.029564661949685545,0.033333333333333333,0.045098039215686336,-0.027118644067796627,-0.16129032258064518,0.040000000000000001,True,True,True,True,False,False,<NA>,False
