condition,layer,split,feature,target_rows,total_neighbor_slots,observed_slots,original_missing_slots,imputed_slots,remaining_missing_slots,effective_nonmissing_slots,rows_with_effective_mean,rows_all_missing,own_history_source_count,same_country_source_count,global_source_count,imputation_month_gap_min,imputation_month_gap_median,imputation_month_gap_max,imputation_distance_km_min,imputation_distance_km_median,imputation_distance_km_max
knn5_spatial_means,layer1_shared,train,fatalities_violence_w10_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,event_count_battles_w10_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,event_count_explosions_w10_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,event_count_violence_w10_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,rainfall_chirps_z_l12,4405,22025,8048,13977,13977,0,22025,4405,0,2891,3616,7470,12,12,67,0,2483.2035071041728,14706.60738564502
knn5_spatial_means,layer1_shared,train,temperature_2m_mean_z_l12,4405,22025,11131,10894,10894,0,22025,4405,0,3891,5998,1005,12,12,68,0,54.998806386248319,13981.012510853379
knn5_spatial_means,layer1_shared,train,GOSIF_GPP_l12,4405,22025,14127,7898,7898,0,22025,4405,0,4908,2949,41,12,16,68,0,0,11476.585852622678
knn5_spatial_means,layer1_shared,train,WFP_Price_Change_s12_l12,4405,22025,5502,16523,10093,6430,15595,3119,1286,2241,1974,5878,12,12,40,0,138.10257504347817,13773.002902233982
knn5_spatial_means,layer1_shared,train,WFP_Price_Volatility_s12_l12,4405,22025,5170,16855,10425,6430,15595,3119,1286,2324,1929,6172,12,12,40,0,143.74973760181643,13885.304446618376
knn5_spatial_means,layer1_shared,train,fatalities_battles_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,fatalities_explosions_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,fatalities_violence_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,event_count_battles_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,event_count_explosions_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,event_count_violence_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,precipitation_sum_s12_l12,4405,22025,7755,14270,7840,6430,15595,3119,1286,2301,4691,848,12,12,42,0,63.804040499491656,13981.012510853379
knn5_spatial_means,layer1_shared,train,soil_moisture_mean_s12_l12,4405,22025,7755,14270,7840,6430,15595,3119,1286,2301,4691,848,12,12,42,0,63.804040499491656,13981.012510853379
knn5_spatial_means,layer1_shared,train,shortwave_radiation_sum_s12_l12,4405,22025,7755,14270,7840,6430,15595,3119,1286,2301,4691,848,12,12,42,0,63.804040499491656,13981.012510853379
knn5_spatial_means,layer1_shared,train,temperature_2m_mean_s12_l12,4405,22025,7755,14270,7840,6430,15595,3119,1286,2301,4691,848,12,12,42,0,63.804040499491656,13981.012510853379
knn5_spatial_means,layer1_shared,train,price_index_s12_l12,4405,22025,9591,12434,6004,6430,15595,3119,1286,2932,2840,232,12,12,42,0,3.0297098153677036,2877.9880190917802
knn5_spatial_means,layer1_shared,train,rainfall_chirps_s12_l12,4405,22025,5381,16644,10214,6430,15595,3119,1286,1518,3026,5670,12,12,42,0,2679.3060369303312,14706.60738564502
knn5_spatial_means,layer1_shared,train,nightlight_mean_s12_l12,4405,22025,8288,13737,7307,6430,15595,3119,1286,2373,2245,2689,12,12,42,0,62.493996776834038,14410.923831094256
knn5_spatial_means,layer1_shared,train,EVI_s12_l12,4405,22025,3637,18388,6803,11585,10440,2088,2317,700,3384,2719,12,12,30,0,643.62175638694271,14706.60738564502
knn5_spatial_means,layer1_shared,train,fatalities_battles_w5_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,fatalities_explosions_w5_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,fatalities_violence_w5_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,event_count_battles_w5_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,event_count_explosions_w5_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,event_count_violence_w5_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,fatalities_battles_w10_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,fatalities_explosions_w10_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,fatalities_violence_w10_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,event_count_battles_w10_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,event_count_explosions_w10_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,event_count_violence_w10_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,rainfall_chirps_z_s12_l12,4405,22025,5381,16644,10214,6430,15595,3119,1286,1518,3026,5670,12,12,42,0,2679.3060369303312,14706.60738564502
knn5_spatial_means,layer1_shared,train,temperature_2m_mean_z_s12_l12,4405,22025,7755,14270,7840,6430,15595,3119,1286,2301,4691,848,12,12,42,0,63.804040499491656,13981.012510853379
knn5_spatial_means,layer1_shared,train,GOSIF_GPP_s12_l12,4405,22025,10077,11948,5518,6430,15595,3119,1286,3057,2430,31,12,14,42,0,0,1482.6375851511461
knn5_spatial_means,layer1_shared,train,NY.GDP.PCAP.KD_l12,4405,22025,167,21858,7288,14570,7455,1491,2914,2,1007,6279,12,13,17,0,2285.8450149518362,15311.385395976617
knn5_spatial_means,layer1_shared,train,cpi_l12,4405,22025,153,21872,7302,14570,7455,1491,2914,2,904,6396,12,13,17,0,2282.3870246908914,15311.385395976617
knn5_spatial_means,layer1_shared,train,GDP_l12,4405,22025,167,21858,7288,14570,7455,1491,2914,2,1007,6279,12,13,17,0,2285.8450149518362,15311.385395976617
knn5_spatial_means,layer1_shared,train,CPI_l12,4405,22025,153,21872,7302,14570,7455,1491,2914,2,904,6396,12,13,17,0,2282.3870246908914,15311.385395976617
knn5_spatial_means,layer1_shared,train,infra_index_l12,4405,22025,105,21920,7350,14570,7455,1491,2914,2,975,6373,12,13,17,0,2265.4177511336393,15311.385395976617
knn5_spatial_means,layer1_shared,train,CC.PER.RNK_l12,4405,22025,169,21856,7286,14570,7455,1491,2914,2,1039,6245,12,13,17,0,2285.8450149518362,15311.385395976617
knn5_spatial_means,layer1_shared,train,gini_l12,4405,22025,153,21872,7302,14570,7455,1491,2914,2,904,6396,12,13,17,0,2282.3870246908914,15311.385395976617
knn5_spatial_means,layer1_shared,test,elevation,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,infra_index_m12_l12,1170,5850,0,5850,5850,0,5850,1170,0,3380,268,2202,13,22,68,0,0,14010.788026117223
knn5_spatial_means,layer1_shared,test,infra_index_s12_l12,1170,5850,0,5850,5850,0,5850,1170,0,3380,268,2202,13,22,68,0,0,14010.788026117223
knn5_spatial_means,layer1_shared,test,market_access,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,nitrogen_5-15cm_mean,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,phh2o_5-15cm_mean,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,cec_5-15cm_mean,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,cfvo_5-15cm_mean,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,soc_5-15cm_mean,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_4000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_7000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_9000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_10000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_12000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_17000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_19000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_25000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_30000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_31000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_32000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_33000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_34000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_36000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_40000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,aez_groupid_43000,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,slope,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,estimated_population,1170,5850,3890,1960,1960,0,5850,1170,0,1933,27,0,12,24,80,0,0,284.9558523372333
knn5_spatial_means,layer1_shared,test,cropland,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,rangeland,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,area,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,es_urban_pop,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,urban_area,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,distance_to_river,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,ruggedness_index,1170,5850,3890,1960,1960,0,5850,1170,0,1960,0,0,,,,0,0,0
knn5_spatial_means,layer1_shared,test,fews_ipc_ha,1170,5850,3890,1960,1960,0,5850,1170,0,1933,27,0,12,24,80,0,0,284.9558523372333
knn5_spatial_means,layer1_shared,test,WFP_Price_Change_l12,1170,5850,2133,3717,3717,0,5850,1170,0,1385,43,2289,12,12,80,0,265.59739456039017,13517.502590837674
knn5_spatial_means,layer1_shared,test,WFP_Price_Volatility_l12,1170,5850,2133,3717,3717,0,5850,1170,0,1361,63,2293,12,12,79,0,266.0486256404302,13517.502590837674
knn5_spatial_means,layer1_shared,test,fatalities_battles_l12,1170,5850,3890,1960,1960,0,5850,1170,0,1933,27,0,12,24,80,0,0,284.9558523372333
knn5_spatial_means,layer1_shared,test,fatalities_explosions_l12,1170,5850,3890,1960,1960,0,5850,1170,0,1933,27,0,12,24,80,0,0,284.9558523372333
knn5_spatial_means,layer1_shared,test,fatalities_violence_l12,1170,5850,3890,1960,1960,0,5850,1170,0,1933,27,0,12,24,80,0,0,284.9558523372333
knn5_spatial_means,layer1_shared,test,event_count_battles_l12,1170,5850,3890,1960,1960,0,5850,1170,0,1933,27,0,12,24,80,0,0,284.9558523372333
knn5_spatial_means,layer1_shared,test,event_count_explosions_l12,1170,5850,3890,1960,1960,0,5850,1170,0,1933,27,0,12,24,80,0,0,284.9558523372333
knn5_spatial_means,layer1_shared,test,event_count_violence_l12,1170,5850,3890,1960,1960,0,5850,1170,0,1933,27,0,12,24,80,0,0,284.9558523372333
knn5_spatial_means,layer1_shared,test,precipitation_sum_l12,1170,5850,2990,2860,2860,0,5850,1170,0,1479,1112,269,12,14,80,0,0,2877.9880190917802
knn5_spatial_means,layer1_shared,test,soil_moisture_mean_l12,1170,5850,2990,2860,2860,0,5850,1170,0,1479,1112,269,12,14,80,0,0,2877.9880190917802
knn5_spatial_means,layer1_shared,test,shortwave_radiation_sum_l12,1170,5850,3555,2295,2295,0,5850,1170,0,1800,495,0,12,22,80,0,0,614.5633787251835
knn5_spatial_means,layer1_shared,test,temperature_2m_mean_l12,1170,5850,2990,2860,2860,0,5850,1170,0,1479,1112,269,12,14,80,0,0,2877.9880190917802
knn5_spatial_means,layer1_shared,test,price_index_l12,1170,5850,3804,2046,2046,0,5850,1170,0,1879,167,0,12,24,80,0,0,381.37193826540079
knn5_spatial_means,layer1_shared,test,rainfall_chirps_l12,1170,5850,2413,3437,3437,0,5850,1170,0,1330,572,1535,12,12,80,0,111.27754483762411,13517.502590837674
knn5_spatial_means,layer1_shared,test,nightlight_mean_l12,1170,5850,3633,2217,2217,0,5850,1170,0,1846,26,345,12,22,80,0,0,13517.502590837674
knn5_spatial_means,layer1_shared,test,EVI_l12,1170,5850,2743,3107,3107,0,5850,1170,0,1325,1166,616,12,12,66,0,65.317325510866596,13517.502590837674
knn5_spatial_means,layer1_shared,test,fatalities_battles_w5_l12,1170,5850,3890,1960,1960,0,5850,1170,0,1933,27,0,12,24,80,0,0,284.9558523372333
knn5_spatial_means,layer1_shared,test,fatalities_explosions_w5_l12,1170,5850,3890,1960,1960,0,5850,1170,0,1933,27,0,12,24,80,0,0,284.9558523372333
knn5_spatial_means,layer1_shared,test,fatalities_violence_w5_l12,1170,5850,3890,1960,1960,0,5850,1170,0,1933,27,0,12,24,80,0,0,284.9558523372333
knn5_spatial_means,layer1_shared,test,event_count_battles_w5_l12,1170,5850,3890,1960,1960,0,5850,1170,0,1933,27,0,12,24,80,0,0,284.9558523372333
