layer,feature_order,original_feature,feature_time_type,reference_month_rule,neighbor_eligible,knn5_feature_name,d200_feature_name
layer1_shared,79,temperature_2m_mean_s12_l12,dynamic,row_month_minus_12_calendar_months,True,temperature_2m_mean_s12_l12__knn5_mean,temperature_2m_mean_s12_l12__d200_mean
layer1_shared,80,price_index_s12_l12,dynamic,row_month_minus_12_calendar_months,True,price_index_s12_l12__knn5_mean,price_index_s12_l12__d200_mean
layer1_shared,81,rainfall_chirps_s12_l12,dynamic,row_month_minus_12_calendar_months,True,rainfall_chirps_s12_l12__knn5_mean,rainfall_chirps_s12_l12__d200_mean
layer1_shared,82,nightlight_mean_s12_l12,dynamic,row_month_minus_12_calendar_months,True,nightlight_mean_s12_l12__knn5_mean,nightlight_mean_s12_l12__d200_mean
layer1_shared,83,EVI_s12_l12,dynamic,row_month_minus_12_calendar_months,True,EVI_s12_l12__knn5_mean,EVI_s12_l12__d200_mean
layer1_shared,84,fatalities_battles_w5_s12_l12,dynamic,row_month_minus_12_calendar_months,True,fatalities_battles_w5_s12_l12__knn5_mean,fatalities_battles_w5_s12_l12__d200_mean
layer1_shared,85,fatalities_explosions_w5_s12_l12,dynamic,row_month_minus_12_calendar_months,True,fatalities_explosions_w5_s12_l12__knn5_mean,fatalities_explosions_w5_s12_l12__d200_mean
layer1_shared,86,fatalities_violence_w5_s12_l12,dynamic,row_month_minus_12_calendar_months,True,fatalities_violence_w5_s12_l12__knn5_mean,fatalities_violence_w5_s12_l12__d200_mean
layer1_shared,87,event_count_battles_w5_s12_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_battles_w5_s12_l12__knn5_mean,event_count_battles_w5_s12_l12__d200_mean
layer1_shared,88,event_count_explosions_w5_s12_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_explosions_w5_s12_l12__knn5_mean,event_count_explosions_w5_s12_l12__d200_mean
layer1_shared,89,event_count_violence_w5_s12_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_violence_w5_s12_l12__knn5_mean,event_count_violence_w5_s12_l12__d200_mean
layer1_shared,90,fatalities_battles_w10_s12_l12,dynamic,row_month_minus_12_calendar_months,True,fatalities_battles_w10_s12_l12__knn5_mean,fatalities_battles_w10_s12_l12__d200_mean
layer1_shared,91,fatalities_explosions_w10_s12_l12,dynamic,row_month_minus_12_calendar_months,True,fatalities_explosions_w10_s12_l12__knn5_mean,fatalities_explosions_w10_s12_l12__d200_mean
layer1_shared,92,fatalities_violence_w10_s12_l12,dynamic,row_month_minus_12_calendar_months,True,fatalities_violence_w10_s12_l12__knn5_mean,fatalities_violence_w10_s12_l12__d200_mean
layer1_shared,93,event_count_battles_w10_s12_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_battles_w10_s12_l12__knn5_mean,event_count_battles_w10_s12_l12__d200_mean
layer1_shared,94,event_count_explosions_w10_s12_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_explosions_w10_s12_l12__knn5_mean,event_count_explosions_w10_s12_l12__d200_mean
layer1_shared,95,event_count_violence_w10_s12_l12,dynamic,row_month_minus_12_calendar_months,True,event_count_violence_w10_s12_l12__knn5_mean,event_count_violence_w10_s12_l12__d200_mean
layer1_shared,96,rainfall_chirps_z_s12_l12,dynamic,row_month_minus_12_calendar_months,True,rainfall_chirps_z_s12_l12__knn5_mean,rainfall_chirps_z_s12_l12__d200_mean
layer1_shared,97,temperature_2m_mean_z_s12_l12,dynamic,row_month_minus_12_calendar_months,True,temperature_2m_mean_z_s12_l12__knn5_mean,temperature_2m_mean_z_s12_l12__d200_mean
layer1_shared,98,GOSIF_GPP_s12_l12,dynamic,row_month_minus_12_calendar_months,True,GOSIF_GPP_s12_l12__knn5_mean,GOSIF_GPP_s12_l12__d200_mean
layer1_shared,99,NY.GDP.PCAP.KD_l12,dynamic,row_month_minus_12_calendar_months,True,NY.GDP.PCAP.KD_l12__knn5_mean,NY.GDP.PCAP.KD_l12__d200_mean
layer1_shared,100,cpi_l12,dynamic,row_month_minus_12_calendar_months,True,cpi_l12__knn5_mean,cpi_l12__d200_mean
layer1_shared,101,GDP_l12,dynamic,row_month_minus_12_calendar_months,True,GDP_l12__knn5_mean,GDP_l12__d200_mean
layer1_shared,102,CPI_l12,dynamic,row_month_minus_12_calendar_months,True,CPI_l12__knn5_mean,CPI_l12__d200_mean
layer1_shared,103,infra_index_l12,dynamic,row_month_minus_12_calendar_months,True,infra_index_l12__knn5_mean,infra_index_l12__d200_mean
layer1_shared,104,CC.PER.RNK_l12,dynamic,row_month_minus_12_calendar_months,True,CC.PER.RNK_l12__knn5_mean,CC.PER.RNK_l12__d200_mean
layer1_shared,105,gini_l12,dynamic,row_month_minus_12_calendar_months,True,gini_l12__knn5_mean,gini_l12__d200_mean
nowcasting_layer2,0,CPI,dynamic,row_month,True,CPI__knn5_mean,CPI__d200_mean
nowcasting_layer2,1,fatalities_explosions_w5_m12,dynamic,row_month,True,fatalities_explosions_w5_m12__knn5_mean,fatalities_explosions_w5_m12__d200_mean
nowcasting_layer2,2,GDP,dynamic,row_month,True,GDP__knn5_mean,GDP__d200_mean
nowcasting_layer2,3,soil_moisture_mean_m12,dynamic,row_month,True,soil_moisture_mean_m12__knn5_mean,soil_moisture_mean_m12__d200_mean
nowcasting_layer2,4,fatalities_explosions,dynamic,row_month,True,fatalities_explosions__knn5_mean,fatalities_explosions__d200_mean
nowcasting_layer2,5,chirps_z_score,dynamic,row_month,True,chirps_z_score__knn5_mean,chirps_z_score__d200_mean
nowcasting_layer2,6,EVI_m12,dynamic,row_month,True,EVI_m12__knn5_mean,EVI_m12__d200_mean
nowcasting_layer2,7,event_count_battles_w10_m12,dynamic,row_month,True,event_count_battles_w10_m12__knn5_mean,event_count_battles_w10_m12__d200_mean
nowcasting_layer2,8,event_count_battles_w5_m12,dynamic,row_month,True,event_count_battles_w5_m12__knn5_mean,event_count_battles_w5_m12__d200_mean
nowcasting_layer2,9,price_index_s12,dynamic,row_month,True,price_index_s12__knn5_mean,price_index_s12__d200_mean
nowcasting_layer2,10,event_count_explosions,dynamic,row_month,True,event_count_explosions__knn5_mean,event_count_explosions__d200_mean
nowcasting_layer2,11,rainfall_chirps_s12,dynamic,row_month,True,rainfall_chirps_s12__knn5_mean,rainfall_chirps_s12__d200_mean
nowcasting_layer2,12,event_count_violence_w10_m12,dynamic,row_month,True,event_count_violence_w10_m12__knn5_mean,event_count_violence_w10_m12__d200_mean
nowcasting_layer2,13,WFP_Price_Change_s12,dynamic,row_month,True,WFP_Price_Change_s12__knn5_mean,WFP_Price_Change_s12__d200_mean
nowcasting_layer2,14,WFP_Price_Volatility_m12,dynamic,row_month,True,WFP_Price_Volatility_m12__knn5_mean,WFP_Price_Volatility_m12__d200_mean
nowcasting_layer2,15,WFP_Price_Change_m12,dynamic,row_month,True,WFP_Price_Change_m12__knn5_mean,WFP_Price_Change_m12__d200_mean
nowcasting_layer2,16,infra_index_m12,dynamic,row_month,True,infra_index_m12__knn5_mean,infra_index_m12__d200_mean
nowcasting_layer2,17,temperature_2m_mean_s12,dynamic,row_month,True,temperature_2m_mean_s12__knn5_mean,temperature_2m_mean_s12__d200_mean
nowcasting_layer2,18,event_count_battles_m12,dynamic,row_month,True,event_count_battles_m12__knn5_mean,event_count_battles_m12__d200_mean
nowcasting_layer2,19,fatalities_battles,dynamic,row_month,True,fatalities_battles__knn5_mean,fatalities_battles__d200_mean
