task,method,layer,feature,source_order,training_observed_count,training_missing_count,training_missing_rate,training_median,scaling_center,scaling_scale,retained,retained_order,exclusion_reason,duplicate_of_feature,rank_policy
Nowcasting,Multinomial,direct,GOSIF_GPP_m12,6,4405,0,0,11451.416670000001,11993.586568249142,9146.4468370451541,True,6,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,infra_index_m12,7,2461,1944,0.441316685584563,9.4342897630000007,11.206658111544153,7.0308963693327691,True,7,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,WFP_Price_Change_m12,8,2407,1998,0.45357548240635642,2.7231073989999999,3.4903818250365499,3.7269050367576679,True,8,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,WFP_Price_Volatility_m12,9,2199,2206,0.50079455164585696,156.14186580000001,667.70741439230358,1926.225166213452,True,9,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,infra_index_s12,10,2461,1944,0.441316685584563,0.24857821299999999,0.40113483395891036,0.58505803858415961,True,10,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,WFP_Price_Change_s12,11,2407,1998,0.45357548240635642,7.3296817369999996,7.7485113386862663,4.7663222232935976,True,11,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,WFP_Price_Volatility_s12,12,2199,2206,0.50079455164585696,215.65494169999999,1331.485092351099,4963.3129409703324,True,12,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,market_access,13,4405,0,0,231,338.66628830874009,336.07329258588084,True,13,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_battles,14,4405,0,0,0,1.1798737895706064,6.7556116064185643,True,14,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_explosions,15,4405,0,0,0,0.054786466047989896,0.82518582396933193,True,15,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_violence,16,4405,0,0,0,0.7777009558685184,2.1638416267735097,True,16,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_battles,17,4405,0,0,0,0.32219995838862436,1.1516055159418619,True,17,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_explosions,18,4405,0,0,0,0.054443947475283319,0.6113070128101743,True,18,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_violence,19,4405,0,0,0.1112334679258295,0.48474931541783478,1.0689657034241216,True,19,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_battles_w5,20,4405,0,0,0,1.9002889543692467,8.8858923027917225,True,20,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_explosions_w5,21,4405,0,0,0,0.13572331674147847,1.3284920533048223,True,21,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,fatalities_violence_w5,22,4405,0,0,0,2.2343884638330116,6.7780725831090143,True,22,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_battles_w5,23,4405,0,0,0,2.0405476871507173,8.3931643354276186,True,23,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_explosions_w5,24,4405,0,0,0,0.20899428623743463,1.6015420107258753,True,24,,,not_applied_authoritative_adapter
Nowcasting,Multinomial,direct,event_count_violence_w5,25,4405,0,0,0.48555513915032877,3.1613848988060584,8.8852893560111514,True,25,,,not_applied_authoritative_adapter
