date,area_id,elevation,infra_index_m12,infra_index_s12,market_access,nitrogen_5-15cm_mean,phh2o_5-15cm_mean,cec_5-15cm_mean,cfvo_5-15cm_mean,soc_5-15cm_mean,aez_groupid_4000,aez_groupid_7000,aez_groupid_9000,aez_groupid_10000,aez_groupid_12000,aez_groupid_17000,aez_groupid_19000,aez_groupid_25000,aez_groupid_30000,aez_groupid_31000,aez_groupid_32000,aez_groupid_33000,aez_groupid_34000,aez_groupid_36000,aez_groupid_40000,aez_groupid_43000,slope,estimated_population,lat,lon,cropland,rangeland,area,es_urban_pop,urban_area,distance_to_river,ruggedness_index,fews_ipc_ha,WFP_Price_Change_l12,WFP_Price_Volatility_l12,fatalities_battles_l12,fatalities_explosions_l12,fatalities_violence_l12,event_count_battles_l12,event_count_explosions_l12,event_count_violence_l12,precipitation_sum_l12,soil_moisture_mean_l12,shortwave_radiation_sum_l12,temperature_2m_mean_l12,price_index_l12,rainfall_chirps_l12,nightlight_mean_l12,EVI_l12,fatalities_battles_w5_l12,fatalities_explosions_w5_l12,fatalities_violence_w5_l12,event_count_battles_w5_l12,event_count_explosions_w5_l12,event_count_violence_w5_l12,fatalities_battles_w10_l12,fatalities_explosions_w10_l12,fatalities_violence_w10_l12,event_count_battles_w10_l12,event_count_explosions_w10_l12,event_count_violence_w10_l12,rainfall_chirps_z_l12,temperature_2m_mean_z_l12,GOSIF_GPP_l12,WFP_Price_Change_s12_l12,WFP_Price_Volatility_s12_l12,fatalities_battles_s12_l12,fatalities_explosions_s12_l12,fatalities_violence_s12_l12,event_count_battles_s12_l12,event_count_explosions_s12_l12,event_count_violence_s12_l12,precipitation_sum_s12_l12,soil_moisture_mean_s12_l12,shortwave_radiation_sum_s12_l12,temperature_2m_mean_s12_l12,price_index_s12_l12,rainfall_chirps_s12_l12,nightlight_mean_s12_l12,EVI_s12_l12,fatalities_battles_w5_s12_l12,fatalities_explosions_w5_s12_l12,fatalities_violence_w5_s12_l12,event_count_battles_w5_s12_l12,event_count_explosions_w5_s12_l12,event_count_violence_w5_s12_l12,fatalities_battles_w10_s12_l12,fatalities_explosions_w10_s12_l12,fatalities_violence_w10_s12_l12,event_count_battles_w10_s12_l12,event_count_explosions_w10_s12_l12,event_count_violence_w10_s12_l12,rainfall_chirps_z_s12_l12,temperature_2m_mean_z_s12_l12,GOSIF_GPP_s12_l12,NY.GDP.PCAP.KD_l12,cpi_l12,GDP_l12,CPI_l12,infra_index_l12,CC.PER.RNK_l12,gini_l12,phase2_worse,phase3_worse,phase4_worse,phase5_worse,fold
2021-09-01,11,313,8.825750858,0.26156646,100,1935.0,55.0,219.0,91.0,400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.81734410673379,346064.0,19.001220287245125,-71.98199349244065,0,43,3000.88573045,0.0,0.0,0.0059770937872374,0.0018104288642273,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0166347845678096,0.1907806396484375,29395147.71484375,244.4446717792087,126.4697922,,,,12.057454527247836,0.0,0.0,12.057454527247836,0.0,0.0,12.05750700708432,0.0,0.0,12.05750700708432,0.0,0.0,,-0.7713649230149079,25302.0,,,1.3483997249264847,0.0,1.77525072919719,0.5222329678670935,0.0,0.9653072991634228,0.0163389998156439,0.0,60738172.10893381,6.8029645712575455,12.863223909056984,,,,6.5867170813088,0.0,6.72958781691659,6.29680026268716,0.0,6.4608644491021225,6.586744432709662,0.0,6.729615158161797,6.296827669387921,0.0,6.460891821425729,,1.133592043727782,5755.522278383577,,,,,,,,0.75,0.5,0.2,0.0,9
2022-09-01,11,313,,,100,1935.0,55.0,219.0,91.0,400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.81734410673379,346064.0,19.001220287245125,-71.98199349244065,0,43,3000.88573045,0.0,0.0,0.0059770937872374,0.0018104288642273,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0663607412633382,0.1907806396484375,27801738.3359375,244.6546101252238,108.0798374,,,,12.057454527247836,0.0,0.0,12.057454527247836,0.0,0.0,12.05750700708432,0.0,0.0,12.05750700708432,0.0,0.0,,-0.7363824626149873,22720.0,,,1.7298624923456325,0.0,0.8528028654224433,0.4522670168666456,0.0,0.90033663737852,0.0146801864193804,0.0,59817289.74043082,6.069467277905658,12.124551072197423,,,,5.056527753441281,0.0,5.554128833656917,5.453188990043607,0.0,5.590121294682841,5.056548122866575,0.0,5.554152521994635,5.453212724942699,0.0,5.590144978400734,,1.0113678740837744,5829.099818751576,,,,,,,,0.85,0.6,0.25,0.0,9
2022-10-01,11,313,,,100,1935.0,55.0,219.0,91.0,400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.81734410673379,63196.0,19.001220287245125,-71.98199349244065,0,43,3000.88573045,0.0,0.0,0.0059770937872374,0.0018104288642273,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,0.0133853813086091,0.1907806396484375,80825402.28198242,246.50087180188908,111.5199038,,,,0.0,0.0,12.75059880722899,0.0,0.0,12.057454527247836,0.0,0.0,12.750651287217693,0.0,0.0,12.05750700708432,,-0.4287360644329668,23730.0,,,1.7298624923456325,0.0,0.9003366373785215,0.4522670168666456,0.0,0.90033663737852,0.0132727066739131,0.0,59931881.25015152,6.140876944974699,22.15907646646859,,,,5.056527753441281,0.0,5.590121294682839,5.453188990043607,0.0,5.590121294682841,5.056548122866575,0.0,5.590144978400734,5.453212724942699,0.0,5.590144978400734,,1.0232670144639435,5909.107092343804,,,,,,,,0.65,0.22,0.01,0.0,9
2019-10-01,12,313,10.93356464,0.093807476,100,1935.0,55.0,219.0,91.0,400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.81734410673379,707601.0,19.001216405436185,-71.98199780429063,0,43,3000.88573045,0.0,0.0,0.0059767897023036,0.0071377013586165,0.0,,,2.0,0.0,0.0,1.0,0.0,0.0,0.0686827079122309,0.1907806396484375,73773644.89331055,245.32315539288263,73.968845,,,,12.750598806947526,0.0,0.0,12.057454526966373,0.0,0.0,12.750651287177355,0.0,0.0,12.057507007043982,0.0,0.0,,-0.6249813832250035,23937.0,,,6.141636343003139,0.0,0.6513389472789297,0.674199862463242,0.0,0.5149286505444373,0.0148550443454547,0.0,61954223.15172781,6.653330622454203,4.866560348107296,,,,6.8914626829618975,0.0,5.560303431785132,6.282894078536107,0.0,6.20872878857171,6.891488450577515,0.0,5.560327155637767,6.282921090085795,0.0,6.208755812067254,,1.1086582296444785,5184.043425977857,,,,,,,,0.7,0.35,0.1,0.0,8
2020-08-01,12,313,9.830916707,0.844023996,100,1935.0,55.0,219.0,91.0,400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.81734410673379,707601.0,19.001216405436185,-71.98199780429063,0,43,3000.88573045,0.0,0.0,0.0059767897023036,0.0071377013586165,0.0,,,3.0,0.0,0.0,1.0,0.0,0.0,0.0112073789257962,0.1907806396484375,4084834.0,240.93882480744392,108.4028008,,,,13.156062948194222,0.0,0.0,12.057454526966373,0.0,0.0,13.156115428474791,0.0,0.0,12.057507007043982,0.0,0.0,,-1.355551448182282,25056.0,,,2.886751345948129,1.7320508075688772,0.9653072991634228,0.3892494720807616,0.2886751345948129,0.4522670168666455,0.0215141186219565,0.0,59606719.47602183,5.713109165864259,7.978449956771687,,,,4.145384862892219,3.997922318840821,6.460864448955316,4.6933578092594495,3.4806873084428536,5.453188989916312,4.145400012664783,3.997937468607526,6.460891821404693,4.693378237101956,3.480702458136321,5.453212724924457,,0.9519871855182744,4565.308343663904,,,,,,,,0.7499999999999999,0.4,0.1,0.0,8
2021-09-01,12,313,8.825750858,0.26156646,100,1935.0,55.0,219.0,91.0,400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.81734410673379,346064.0,19.001216405436185,-71.98199780429063,0,43,3000.88573045,0.0,0.0,0.0059767897023036,0.0071377013586165,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0166347845678096,0.1907806396484375,29395147.71484375,244.4446717792087,126.4697922,,,,12.057454526966373,0.0,0.0,12.057454526966373,0.0,0.0,12.057507007043982,0.0,0.0,12.057507007043982,0.0,0.0,,-0.7713649230149079,25302.0,,,1.3483997249264847,0.0,1.77525072919719,0.5222329678670935,0.0,0.9653072991634228,0.0163389998156439,0.0,60738172.10893381,6.8029645712575455,12.863223909056984,,,,6.586717081162108,0.0,6.7295878167699525,6.296800262540172,0.0,6.460864448955316,6.58674443268864,0.0,6.729615158140782,6.296827669366856,0.0,6.460891821404691,,1.133592043727782,5755.522278383577,,,,,,,,0.75,0.5,0.2,0.0,8
2022-09-01,12,313,,,100,1935.0,55.0,219.0,91.0,400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.81734410673379,346064.0,19.001216405436185,-71.98199780429063,0,43,3000.88573045,0.0,0.0,0.0059767897023036,0.0071377013586165,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0663607412633382,0.1907806396484375,27801738.3359375,244.6546101252238,108.0798374,,,,12.057454526966373,0.0,0.0,12.057454526966373,0.0,0.0,12.057507007043982,0.0,0.0,12.057507007043982,0.0,0.0,,-0.7363824626149873,22720.0,,,1.7298624923456325,0.0,0.8528028654224433,0.4522670168666456,0.0,0.90033663737852,0.0146801864193804,0.0,59817289.74043082,6.069467277905658,12.124551072197423,,,,5.056527753332038,0.0,5.55412883352987,5.453188989916312,0.0,5.590121294555817,5.056548122850923,0.0,5.554152521976429,5.453212724924459,0.0,5.590144978382531,,1.0113678740837744,5829.099818751576,,,,,,,,0.85,0.6,0.25,0.0,8
2022-10-01,12,313,,,100,1935.0,55.0,219.0,91.0,400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.81734410673379,63196.0,19.001216405436185,-71.98199780429063,0,43,3000.88573045,0.0,0.0,0.0059767897023036,0.0071377013586165,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,0.0133853813086091,0.1907806396484375,80825402.28198242,246.50087180188908,111.5199038,,,,0.0,0.0,12.750598806947526,0.0,0.0,12.057454526966373,0.0,0.0,12.750651287177355,0.0,0.0,12.057507007043982,,-0.4287360644329668,23730.0,,,1.7298624923456325,0.0,0.9003366373785215,0.4522670168666456,0.0,0.90033663737852,0.0132727066739131,0.0,59931881.25015152,6.140876944974699,22.15907646646859,,,,5.056527753332038,0.0,5.590121294555818,5.453188989916312,0.0,5.590121294555817,5.056548122850923,0.0,5.590144978382531,5.453212724924459,0.0,5.590144978382531,,1.0232670144639435,5909.107092343804,,,,,,,,0.65,0.22,0.01,0.0,8
2019-10-01,13,989,10.93356464,0.093807476,339,4050.0,57.0,271.0,129.0,374.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.12742085754871,707601.0,18.843052305915048,-72.00912642807387,0,82,3000.88573045,0.0,0.0,0.0448249275180438,0.0235067025666218,0.0,,,2.0,0.0,0.0,1.0,0.0,0.0,0.0692270555319861,0.1878016777905431,73918320.00633968,245.2440579603752,73.968845,,,,3.714002961066704,0.0,0.0,3.044943074853672,0.0,0.0,4.06475156031145,0.0,0.0,3.388625941281471,0.0,0.0,,-0.6188097357322249,25273.0,,,6.141636343003139,0.0,0.6513389472789297,0.674199862463242,0.0,0.5149286505444373,0.0146225358381941,0.0,62002490.73360256,6.663715890925787,4.866560348107296,,,,2.4690050300776383,0.0,1.4871414875825435,1.6467467554375588,0.0,1.5679284285190307,2.640555827817392,0.0,1.6429470075455266,1.8236701707415583,0.0,1.7449005831439417,,1.1103044352254503,5529.662910297078,,,,,,,,0.7,0.35,0.1,0.0,3
2022-09-01,13,989,,,339,4050.0,57.0,271.0,129.0,374.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.12742085754871,361537.0,18.843052305915048,-72.00912642807387,0,82,3000.88573045,0.0,0.0,0.0448249275180438,0.0235067025666218,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0657767226161296,0.1878016777905431,27856175.35337692,244.5373535214233,108.0798374,,,,3.044943074853672,0.0,0.0,3.044943074853672,0.0,0.0,3.388625941281471,0.0,0.0,3.388625941281471,0.0,0.0,,-0.736560415053694,23969.0,,,1.7298624923456325,0.0,0.8528028654224433,0.4522670168666456,0.0,0.90033663737852,0.0146663886768073,0.0,59922305.99922504,6.053182172617872,12.124551072197423,,,,1.571097541965295,0.0,1.5026404772164577,1.3771273209928212,0.0,1.539558896646492,1.704167624296639,0.0,1.655939278931191,1.5325637457403,0.0,1.6930520175982475,,1.008577664998792,5509.551135954449,,,,,,,,0.75,0.5,0.15,0.0,3
