test_index,overall_phase,overall_phase_pred,phase3_pred,area_id,date,_merge
2458,3,3,0.3,821,2022-02-01,both
2459,3,3,0.34,821,2022-03-01,both
2460,3,3,0.33,821,2022-06-01,both
2461,3,3,0.42,825,2022-04-01,both
2464,3,3,0.55,828,2022-04-01,both
2467,3,3,0.55,829,2022-04-01,both
2470,3,3,0.21,837,2022-06-01,both
2482,3,3,0.28,842,2022-02-01,both
2483,3,3,0.31,842,2022-03-01,both
2484,3,3,0.33,842,2022-06-01,both
2485,3,3,0.28,842,2022-10-01,both
2495,3,3,0.26,843,2022-02-01,both
2496,3,3,0.31,843,2022-03-01,both
2497,3,3,0.33,843,2022-06-01,both
2498,3,3,0.28,843,2022-10-01,both
2500,3,3,0.52,844,2022-10-01,both
2502,3,3,0.51,845,2022-10-01,both
2512,3,3,0.21,852,2022-06-01,both
2522,3,3,0.29,857,2022-03-01,both
2525,3,3,0.29,858,2022-03-01,both
2553,4,3,0.63,882,2022-02-01,both
2558,4,3,0.63,883,2022-02-01,both
2571,3,3,0.37,893,2022-02-01,both
2572,3,3,0.35,893,2022-10-01,both
2578,3,3,0.39,894,2022-02-01,both
2579,3,3,0.35,894,2022-10-01,both
2584,4,3,0.48,896,2022-04-01,both
2587,4,3,0.47,897,2022-04-01,both
2588,3,3,0.33,898,2022-03-01,both
2589,2,3,0.31,898,2022-06-01,both
2590,3,3,0.43,898,2022-10-01,both
2591,3,3,0.33,899,2022-03-01,both
2592,2,3,0.31,899,2022-06-01,both
2593,3,3,0.43,899,2022-10-01,both
2596,4,3,0.49,901,2022-02-01,both
2598,4,3,0.49,902,2022-02-01,both
2615,3,3,0.36,913,2022-02-01,both
2619,3,3,0.38,914,2022-02-01,both
2621,2,3,0.26,915,2022-10-01,both
2622,3,3,0.2,916,2022-03-01,both
2624,3,3,0.2,917,2022-02-01,both
2625,2,3,0.25,917,2022-06-01,both
2627,3,2,0.18,918,2022-02-01,both
2628,2,3,0.25,918,2022-06-01,both
2629,3,2,0.19,919,2022-03-01,both
2631,2,3,0.23,921,2022-10-01,both
2645,3,3,0.34,929,2022-10-01,both
2649,4,3,0.55,930,2022-02-01,both
2650,3,3,0.58,930,2022-10-01,both
2655,4,3,0.55,931,2022-02-01,both
2656,3,3,0.58,931,2022-10-01,both
2672,3,3,0.26,937,2022-02-01,both
2673,3,3,0.28,937,2022-03-01,both
2674,3,3,0.29,937,2022-06-01,both
2675,3,3,0.26,937,2022-07-01,both
2676,3,3,0.28,937,2022-10-01,both
2685,3,3,0.28,938,2022-02-01,both
2686,3,3,0.29,938,2022-03-01,both
2687,3,3,0.29,938,2022-06-01,both
2688,3,3,0.28,938,2022-07-01,both
2689,3,3,0.29,938,2022-10-01,both
2692,3,3,0.26,941,2022-03-01,both
2695,3,3,0.26,942,2022-03-01,both
2701,3,3,0.33,948,2022-02-01,both
2702,3,3,0.38,948,2022-03-01,both
2711,2,2,0.14,951,2022-02-01,both
2712,3,2,0.16,951,2022-03-01,both
2713,3,3,0.22,951,2022-06-01,both
2714,2,2,0.15,951,2022-07-01,both
2719,2,2,0.15,952,2022-02-01,both
2720,3,2,0.18,952,2022-03-01,both
2721,3,3,0.22,952,2022-06-01,both
2722,2,2,0.15,952,2022-07-01,both
2727,2,2,0.19,957,2022-07-01,both
2730,2,2,0.15,965,2022-02-01,both
2731,2,3,0.22,965,2022-06-01,both
2733,2,2,0.13,966,2022-02-01,both
2734,2,3,0.25,966,2022-06-01,both
2738,3,2,0.16,968,2022-02-01,both
2739,3,3,0.3,968,2022-03-01,both
2740,3,3,0.27,968,2022-06-01,both
2741,3,3,0.24,968,2022-07-01,both
2745,3,2,0.15,969,2022-02-01,both
2746,3,3,0.31,969,2022-03-01,both
2747,3,3,0.28,969,2022-06-01,both
2748,3,3,0.26,969,2022-07-01,both
2751,3,3,0.4,971,2022-03-01,both
2752,3,3,0.41,971,2022-06-01,both
2755,3,3,0.39,972,2022-03-01,both
2756,3,3,0.42,972,2022-06-01,both
2760,3,3,0.29,983,2022-06-01,both
2761,3,3,0.34,984,2022-06-01,both
2762,3,3,0.34,985,2022-06-01,both
2765,2,2,0.17,994,2022-02-01,both
2766,2,2,0.19,994,2022-06-01,both
2769,2,2,0.17,995,2022-02-01,both
2770,2,2,0.19,995,2022-06-01,both
2774,3,3,0.37,997,2022-09-01,both
2777,3,3,0.31,1001,2022-09-01,both
2781,3,2,0.16,1003,2022-02-01,both
2782,3,3,0.31,1003,2022-03-01,both
2783,3,3,0.24,1003,2022-07-01,both
2787,3,2,0.18,1005,2022-02-01,both
2788,3,3,0.32,1005,2022-03-01,both
2789,3,3,0.24,1005,2022-07-01,both
2791,3,3,0.37,1008,2022-09-01,both
2796,3,2,0.19,1011,2022-02-01,both
2797,3,3,0.2,1011,2022-03-01,both
2798,2,3,0.23,1011,2022-06-01,both
2799,3,3,0.22,1011,2022-07-01,both
2806,3,3,0.39,1016,2022-09-01,both
2807,3,3,0.37,1017,2022-09-01,both
2808,3,3,0.34,1020,2022-09-01,both
2809,2,3,0.31,1023,2022-09-01,both
2815,3,2,0.15,1032,2022-02-01,both
2816,3,2,0.17,1032,2022-03-01,both
2817,2,3,0.21,1032,2022-06-01,both
2820,3,2,0.15,1033,2022-02-01,both
2821,3,2,0.17,1033,2022-03-01,both
2822,2,2,0.18,1033,2022-06-01,both
2824,3,3,0.37,1038,2022-09-01,both
2825,3,3,0.34,1039,2022-09-01,both
2831,2,2,0.16,1046,2022-02-01,both
2832,3,2,0.17,1046,2022-07-01,both
2835,2,2,0.16,1047,2022-02-01,both
2836,3,2,0.17,1047,2022-07-01,both
2837,2,3,0.21,1048,2022-07-01,both
2838,3,3,0.25,1048,2022-10-01,both
2839,3,2,0.19,1049,2022-10-01,both
2840,3,2,0.18,1050,2022-10-01,both
2846,2,3,0.2,1057,2022-07-01,both
2848,3,3,0.21,1059,2022-02-01,both
2849,3,3,0.23,1059,2022-07-01,both
2851,3,3,0.21,1060,2022-02-01,both
2852,3,3,0.23,1060,2022-07-01,both
2857,2,2,0.19,1061,2022-07-01,both
2865,3,3,0.3,1068,2022-02-01,both
2866,3,3,0.27,1068,2022-07-01,both
2870,3,3,0.29,1071,2022-02-01,both
2871,3,3,0.26,1071,2022-07-01,both
2878,3,2,0.16,1097,2022-02-01,both
2879,3,2,0.16,1099,2022-02-01,both
2882,3,3,0.25,1102,2022-02-01,both
2883,3,3,0.24,1102,2022-07-01,both
2886,3,3,0.25,1103,2022-02-01,both
2887,3,3,0.24,1103,2022-07-01,both
2888,2,3,0.3,1107,2022-10-01,both
2889,2,3,0.25,1112,2022-10-01,both
2890,2,3,0.25,1113,2022-10-01,both
2891,2,3,0.26,1114,2022-10-01,both
2899,2,3,0.24,1124,2022-10-01,both
2903,2,3,0.21,1128,2022-10-01,both
2911,3,3,0.28,1131,2022-10-01,both
2919,3,3,0.25,1145,2022-10-01,both
2921,3,3,0.25,1146,2022-10-01,both
2922,3,3,0.26,1148,2022-10-01,both
2923,3,3,0.27,1150,2022-10-01,both
2926,3,3,0.31,1151,2022-10-01,both
2929,3,3,0.31,1152,2022-10-01,both
2933,3,3,0.29,1154,2022-10-01,both
2943,3,3,0.29,1157,2022-02-01,both
2944,3,3,0.25,1157,2022-07-01,both
2945,2,3,0.32,1157,2022-10-01,both
2953,3,3,0.29,1158,2022-02-01,both
2954,3,3,0.25,1158,2022-07-01,both
2955,2,3,0.32,1158,2022-10-01,both
2967,3,2,0.17,1160,2022-01-01,both
2968,3,2,0.17,1160,2022-02-01,both
2969,3,2,0.17,1160,2022-05-01,both
2970,3,2,0.17,1160,2022-07-01,both
2971,1,2,0.18,1160,2022-10-01,both
2983,3,3,0.2,1161,2022-01-01,both
2984,3,3,0.2,1161,2022-02-01,both
2985,3,3,0.2,1161,2022-05-01,both
2986,3,3,0.2,1161,2022-07-01,both
2987,1,3,0.2,1161,2022-10-01,both
2997,2,3,0.26,1173,2022-01-01,both
2998,3,3,0.32,1173,2022-02-01,both
2999,3,3,0.22,1173,2022-07-01,both
3000,2,3,0.25,1173,2022-10-01,both
3020,3,2,0.13,1182,2022-01-01,both
3021,3,2,0.14,1182,2022-05-01,both
3022,1,2,0.14,1182,2022-10-01,both
3028,2,3,0.21,1183,2022-01-01,both
3029,3,3,0.21,1183,2022-02-01,both
3035,2,3,0.22,1184,2022-01-01,both
3036,3,3,0.22,1184,2022-02-01,both
3048,2,2,0.15,1188,2022-01-01,both
