experiment,threshold_percent,task,model,removed_feature_count,removed_country_count,removed_country_iso3,overall_accuracy,phase3plus_precision,phase3plus_recall,phase3above_r2,n_train,n_test,status,reason,delta_overall_accuracy_vs_xgboost,delta_phase3plus_precision_vs_xgboost,delta_phase3plus_recall_vs_xgboost,delta_phase3above_r2_vs_xgboost
country_removal,50,Forecasting,XGBoost,0,15,ZWE;DOM;SDN;ZMB;TJK;MDG;ZAF;MWI;MOZ;SWZ;AFG;LSO;PAK;SSD;CAF,0.61578947368421055,0.76706827309236947,0.75049115913555997,-0.44553416980408445,2715,760,generated,,0,0,0,0
country_removal,50,Forecasting,Ensemble OLS,0,15,ZWE;DOM;SDN;ZMB;TJK;MDG;ZAF;MWI;MOZ;SWZ;AFG;LSO;PAK;SSD;CAF,0.35789473684210527,0.72444444444444445,0.32023575638506874,-1.4270697172019196,2715,760,generated,,-0.25789473684210529,-0.042623828647925022,-0.43025540275049123,-0.98153554739783511
country_removal,50,Forecasting,Ordered Probit,0,15,ZWE;DOM;SDN;ZMB;TJK;MDG;ZAF;MWI;MOZ;SWZ;AFG;LSO;PAK;SSD;CAF,,,,,2715,760,not_estimable,Ordered Probit training outcome must retain all five ordered classes.,,,,
country_removal,50,Nowcasting,XGBoost,0,15,ZWE;ZMB;SDN;DOM;TJK;LSO;SWZ;ZAF;MDG;AFG;MWI;MOZ;SSD;GTM;ETH,0.67211055276381915,0.7813504823151125,0.86476868327402134,-0.283207105271162,2730,796,generated,,0,0,0,0
country_removal,50,Nowcasting,Ensemble OLS,0,15,ZWE;ZMB;SDN;DOM;TJK;LSO;SWZ;ZAF;MDG;AFG;MWI;MOZ;SSD;GTM;ETH,0.46733668341708545,0.78142076502732238,0.50889679715302494,-1.1548194786628949,2730,796,generated,,-0.20477386934673369,7.028271220987925e-05,-0.35587188612099641,-0.87161237339173292
country_removal,50,Nowcasting,Ordered Probit,0,15,ZWE;ZMB;SDN;DOM;TJK;LSO;SWZ;ZAF;MDG;AFG;MWI;MOZ;SSD;GTM;ETH,,,,,2730,796,not_estimable,Ordered Probit training outcome must retain all five ordered classes.,,,,
missing_indicators,,Forecasting,Ensemble OLS,0,0,,0.54358974358974355,0.79240506329113924,0.71217292377701935,-0.90739242109707607,4405,1170,generated,,-0.10598290598290605,0.017334772756931183,-0.22866894197952214,-0.57176031807466288
missing_indicators,,Forecasting,Ordered Probit,0,0,,0.51880341880341885,0.79773691654879775,0.64163822525597269,-1.0949298054255654,4405,1170,generated,,-0.13076923076923075,0.022666626014589686,-0.2992036405005688,-0.7592977024031522
missing_indicators,,Nowcasting,Ensemble OLS,0,0,,0.60256410256410253,0.75960591133004929,0.87713310580204773,-0.61007705569825132,4405,1170,generated,,-0.051282051282051322,-0.017858877402345041,-0.064846416382252636,-0.29274128285422729
missing_indicators,,Nowcasting,Ordered Probit,0,0,,0.55128205128205132,0.79471788715486191,0.7531285551763367,-0.77474402730375425,4405,1170,generated,,-0.10256410256410253,0.017253098422467583,-0.18885096700796367,-0.45740825445973021
missing_indicators,,Forecasting,XGBoost,0,0,,0.6495726495726496,0.77507029053420806,0.9408418657565415,-0.3356321030224132,4405,1170,frozen_reference,,0,0,0,0
missing_indicators,,Nowcasting,XGBoost,0,0,,0.65384615384615385,0.77746478873239433,0.94197952218430037,-0.31733577284402403,4405,1170,frozen_reference,,0,0,0,0
