delta3,delta4,n_rows,ordinal_mae,balanced_accuracy,phase4_support,phase4_recall,phase3plus_precision,phase3plus_recall,distribution_discrepancy,actual_phase1_count,actual_phase2_count,actual_phase3_count,actual_phase4_count,actual_phase5_count,predicted_phase1_count,predicted_phase2_count,predicted_phase3_count,predicted_phase4_count,predicted_phase5_count,ordinal_mae_change,balanced_accuracy_change,phase4_recall_change,phase3plus_precision_change,phase3plus_recall_change,distribution_discrepancy_change,offset_l1,mae_improved,phase4_recall_improved,balanced_accuracy_not_lower,phase3plus_precision_within_tolerance,phase3plus_recall_within_tolerance,accepted,selection_rank,selected
-0.070000000000000007,0.02,959,0.41397288842544316,0.33281750801282051,48,0,0.8517350157728707,0.48214285714285715,0.52554744525547448,9,390,512,48,0,0,642,314,3,0,0.059436913451511975,-0.014240284455128205,0,0.088926666626760631,-0.23571428571428571,0.40667361835245053,0.090000000000000011,False,False,False,True,False,False,<NA>,False
-0.050000000000000003,0.040000000000000001,959,0.41605839416058393,0.33898988381410261,48,0.041666666666666664,0.8258426966292135,0.52500000000000002,0.44421272158498437,9,390,512,48,0,0,603,338,18,0,0.061522419186652744,-0.0080679086538461009,0.041666666666666664,0.063034347483103437,-0.19285714285714284,0.32533889468196042,0.089999999999999997,False,True,False,True,False,False,<NA>,False
-0.059999999999999998,0.040000000000000001,959,0.41710114702815432,0.34005909455128208,48,0.041666666666666664,0.83870967741935487,0.51071428571428568,0.47549530761209596,9,390,512,48,0,0,618,323,18,0,0.062565172054223128,-0.0069986979166666297,0.041666666666666664,0.075901328273244806,-0.20714285714285718,0.35662148070907196,0.10000000000000001,False,True,False,True,False,False,<NA>,False
-0.070000000000000007,0.029999999999999999,959,0.41710114702815432,0.33607271634615382,48,0.020833333333333332,0.8517350157728707,0.48214285714285715,0.52554744525547448,9,390,512,48,0,0,642,309,8,0,0.062565172054223128,-0.01098507612179489,0.020833333333333332,0.088926666626760631,-0.23571428571428571,0.40667361835245053,0.10000000000000001,False,True,False,True,False,False,<NA>,False
-0.029999999999999999,0.070000000000000007,959,0.41918665276329509,0.37094851762820508,48,0.20833333333333334,0.79710144927536231,0.5892857142857143,0.3295099061522419,9,390,512,48,0,0,545,363,51,0,0.064650677789363897,0.023890725160256365,0.20833333333333334,0.034293100129252241,-0.12857142857142856,0.21063607924921793,0.10000000000000001,False,True,True,True,False,False,<NA>,False
-0.040000000000000001,0.050000000000000003,959,0.41918665276329509,0.3540840344551282,48,0.125,0.80678851174934729,0.55178571428571432,0.38790406673618355,9,390,512,48,0,0,576,351,32,0,0.064650677789363897,0.0070262419871794934,0.125,0.043980162603237227,-0.16607142857142854,0.26903023983315955,0.089999999999999997,False,True,True,True,False,False,<NA>,False
-0.01,0.080000000000000002,959,0.42022940563086547,0.38634565304487184,48,0.29166666666666669,0.76907216494845365,0.66607142857142854,0.23149113660062567,9,390,512,48,0,0,474,410,75,0,0.065693430656934282,0.039287860576923128,0.29166666666666669,0.0062638158023435864,-0.051785714285714324,0.1126173096976017,0.089999999999999997,False,True,True,True,False,False,<NA>,False
-0.050000000000000003,0.050000000000000003,959,0.42231491136600624,0.35542868589743593,48,0.125,0.8258426966292135,0.52500000000000002,0.44421272158498437,9,390,512,48,0,0,603,324,32,0,0.067778936392075051,0.0083708934294872139,0.125,0.063034347483103437,-0.19285714285714284,0.32533889468196042,0.10000000000000001,False,True,True,True,False,False,<NA>,False
-0.059999999999999998,0.050000000000000003,959,0.42335766423357662,0.3564978966346154,48,0.125,0.83870967741935487,0.51071428571428568,0.47549530761209591,9,390,512,48,0,0,618,309,32,0,0.068821689259645435,0.0094401041666666852,0.125,0.075901328273244806,-0.20714285714285718,0.35662148070907196,0.11,False,True,True,True,False,False,<NA>,False
-0.02,0.080000000000000002,959,0.42544316996871739,0.38570713141025642,48,0.29166666666666669,0.7857142857142857,0.62857142857142856,0.30865484880083421,9,390,512,48,0,0,511,373,75,0,0.070907194994786205,0.038649338942307709,0.29166666666666669,0.022905936568175633,-0.089285714285714302,0.18978102189781024,0.10000000000000001,False,True,True,True,False,False,<NA>,False
