model,area_id,country_code_3,n_test_dates,accuracy,precision,recall,R2(p3),actual_phase3plus_count,predicted_phase3plus_count,true_positive,false_positive,false_negative,true_negative,precision_undefined_reason,recall_undefined_reason,r2_undefined_reason,nonpositive_cumulative_prediction_count
Forecasting,586,COD,3,0.6666666667,0.6666666667,1,-1.228571245,2,3,2,1,0,0,,,,0
Forecasting,587,COD,3,0.3333333333,0.3333333333,1,-0.1971429137,1,3,1,2,0,0,,,,0
Forecasting,591,COD,2,0.5,0.5,1,-0.05999996305,1,2,1,1,0,0,,,,0
Forecasting,592,COD,2,0.5,0.5,1,-0.05999996305,1,2,1,1,0,0,,,,0
Forecasting,598,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,602,COD,3,0.3333333333,0.3333333333,1,0.1061538381,1,3,1,2,0,0,,,,0
Forecasting,605,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,606,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,607,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,608,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,609,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,611,COD,2,0.5,0.5,1,0.1135999931,1,2,1,1,0,0,,,,0
Forecasting,613,COD,3,0.6666666667,0.5,1,0.1263158077,1,2,1,1,0,1,,,,0
Forecasting,614,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,615,COD,3,0.3333333333,0.3333333333,1,0.1061538381,1,3,1,2,0,0,,,,0
Forecasting,616,COD,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,618,COD,3,0.3333333333,0.3333333333,1,0.2778948123,1,3,1,2,0,0,,,,0
Forecasting,623,COD,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,625,COD,3,0.6666666667,1,1,0.3028570795,1,1,1,0,0,2,,,,0
Forecasting,626,COD,3,0.6666666667,1,1,0.2657142574,1,1,1,0,0,2,,,,0
Forecasting,630,ZMB,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,633,ZMB,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,634,COD,3,0.6666666667,0,,-4.940000007,0,1,0,1,0,2,,no_actual_phase3plus,,0
Forecasting,637,SSD,2,0,1,1,-29.33999859,2,2,2,0,0,0,,,,0
Forecasting,638,SSD,2,0,1,1,-29.33999859,2,2,2,0,0,0,,,,0
Forecasting,639,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,640,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,642,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,643,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,644,COD,2,0,0,,-20.91999987,0,2,0,2,0,0,,no_actual_phase3plus,,0
Forecasting,645,COD,2,0,0,,-20.91999987,0,2,0,2,0,0,,no_actual_phase3plus,,0
Forecasting,646,COD,2,0.5,0.5,1,-0.3583673485,1,2,1,1,0,0,,,,0
Forecasting,647,COD,2,0.5,0.5,1,-0.3583673485,1,2,1,1,0,0,,,,0
Forecasting,649,COD,3,0.3333333333,0.3333333333,1,-0.2276923567,1,3,1,2,0,0,,,,0
Forecasting,650,COD,3,0.3333333333,0.3333333333,1,-0.1353845598,1,3,1,2,0,0,,,,0
Forecasting,651,BDI,3,0.6666666667,1,1,0.3485713564,1,1,1,0,0,2,,,,0
Forecasting,652,BDI,3,0.6666666667,1,1,0.3485713564,1,1,1,0,0,2,,,,0
Forecasting,654,COD,2,0.5,0.5,1,0.07499990761,1,2,1,1,0,0,,,,0
Forecasting,655,COD,2,0,0,0,-0.2063999783,1,1,0,1,1,0,,,,0
Forecasting,658,COD,2,0.5,0.5,1,-0.06122460852,1,2,1,1,0,0,,,,0
Forecasting,661,COD,2,0.5,0.5,1,-0.007346948118,1,2,1,1,0,0,,,,0
Forecasting,668,SSD,2,0.5,0.5,1,-3.580000801,1,2,1,1,0,0,,,,0
Forecasting,669,SSD,2,0.5,0.5,1,-3.580000801,1,2,1,1,0,0,,,,0
Forecasting,670,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,671,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,672,SSD,2,1,1,1,-15.64000031,2,2,2,0,0,0,,,,0
Forecasting,673,SSD,2,1,1,1,-15.64000031,2,2,2,0,0,0,,,,0
Forecasting,674,BDI,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,675,BDI,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,676,BDI,3,0.6666666667,0.5,1,0.3249999061,1,2,1,1,0,1,,,,0
Forecasting,677,BDI,3,0.6666666667,0.5,1,0.3249999061,1,2,1,1,0,1,,,,0
Forecasting,678,SSD,2,0,0.5,1,-0.3202366184,1,2,1,1,0,0,,,,0
Forecasting,679,SSD,2,0,0.5,1,-0.3202366184,1,2,1,1,0,0,,,,0
Forecasting,680,COD,3,1,1,1,-1.530000053,3,3,3,0,0,0,,,,0
Forecasting,681,COD,2,0.5,0.5,1,0.3499999225,1,2,1,1,0,0,,,,0
Forecasting,682,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,683,SSD,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
